Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
TB,194,1,20.30,1,0.91,3,.196,1,.160,29,.036,5,28.99,1,5.07,2,2.21,1,.573
CAR,206,2,22.20,3,1.36,17,.146,20,.083,13,.063,13,31.17,2,5.07,3,2.22,2,.606
PHI,193,3,24.05,2,1.10,5,.181,22,.078,1,.104,3,28.21,4,5.33,4,2.23,3,.615
WAS,187,4,25.17,16,1.73,22,.134,23,.075,15,.059,31,35.10,11,5.51,13,2.33,7,.646
HOU,201,5,25.23,11,1.65,32,.095,31,.050,24,.045,25,33.01,5,5.34,9,2.30,6,.640
PIT,182,6,25.29,15,1.70,6,.170,10,.104,12,.066,30,34.33,10,5.50,5,2.26,11,.656
DAL,205,7,25.45,4,1.48,19,.141,17,.093,22,.049,28,33.78,6,5.43,7,2.30,4,.627
MIA,182,8,25.65,6,1.58,16,.148,6,.115,31,.033,21,32.00,9,5.47,8,2.30,8,.651
GB,194,9,26.08,8,1.62,1,.222,4,.124,2,.098,26,33.10,3,5.18,1,2.19,10,.654
NYG,181,10,26.66,5,1.49,27,.127,25,.061,11,.066,24,32.40,12,5.58,11,2.32,5,.636
IND,172,11,27.69,18,1.78,25,.128,26,.058,6,.070,19,31.64,17,5.70,22,2.42,14,.671
DEN,173,12,28.04,21,1.87,30,.110,29,.052,17,.058,22,32.35,24,5.84,25,2.46,18,.685
ATL,188,13,28.15,7,1.60,2,.197,3,.128,8,.069,6,29.05,8,5.45,6,2.28,9,.653
BAL,185,14,28.46,14,1.70,10,.162,2,.135,32,.027,20,31.89,26,5.95,24,2.45,15,.675
OAK,177,15,28.73,9,1.64,7,.169,5,.119,20,.051,9,30.19,18,5.72,16,2.36,23,.691
TEN,172,16,28.83,10,1.64,15,.151,9,.105,23,.047,1,27.78,19,5.76,10,2.32,17,.683
STL,172,17,28.97,12,1.66,14,.151,24,.070,5,.081,7,29.49,13,5.59,20,2.41,13,.665
CHI,194,18,29.02,22,1.91,20,.139,32,.046,3,.093,29,33.92,20,5.78,18,2.40,16,.676
NE,183,19,29.09,20,1.85,11,.158,13,.098,14,.060,15,31.25,22,5.80,21,2.42,21,.688
BUF,180,20,29.52,27,2.02,31,.106,27,.056,21,.050,27,33.34,14,5.62,14,2.34,22,.690
CLE,181,21,29.76,13,1.69,21,.138,15,.094,25,.044,23,32.38,23,5.80,19,2.40,12,.661
NO,192,22,29.90,23,1.94,4,.188,11,.104,4,.083,2,28.18,16,5.69,17,2.37,20,.687
JAX,172,23,30.24,17,1.75,13,.151,21,.081,7,.070,11,30.62,30,6.22,30,2.54,24,.700
