Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
MIN,185,21,.200,24,.151,26,.384,21,.222,27,30.40,13,1.32,6,4.25,9,.472,20,-0.27
ATL,186,19,.194,16,.134,19,.425,13,.247,1,24.71,18,1.44,18,4.63,21,.531,15,1.74
NYJ,174,25,.207,29,.172,31,.356,19,.224,32,31.83,11,1.20,20,4.65,15,.500,29,-3.60
IND,166,8,.157,10,.114,24,.404,20,.223,25,29.77,15,1.37,11,4.38,10,.487,2,7.10
DET,178,17,.191,17,.135,23,.404,25,.208,20,28.93,17,1.42,15,4.55,16,.509,28,-2.52
STL,188,31,.255,20,.138,30,.356,26,.207,22,29.37,28,1.85,28,5.05,29,.581,22,-1.40
NO,172,26,.209,30,.180,15,.442,5,.291,7,27.18,10,1.16,17,4.63,14,.500,32,-4.74
KC,174,24,.207,12,.115,25,.397,23,.213,28,30.48,27,1.80,5,4.20,8,.467,9,4.33
OAK,183,20,.197,32,.191,22,.410,7,.279,29,30.84,5,1.03,13,4.51,5,.458,27,-2.43
NE,177,22,.203,19,.136,10,.458,22,.215,19,28.72,21,1.50,25,4.85,27,.563,14,1.89
CIN,172,27,.215,22,.145,32,.291,32,.116,13,27.75,20,1.48,27,5.02,23,.542,6,5.06
SF,193,29,.244,23,.150,28,.363,24,.212,2,25.20,24,1.62,16,4.61,18,.516,31,-4.63
BUF,171,28,.240,8,.111,29,.363,31,.170,18,28.47,32,2.16,32,5.25,32,.635,13,2.06
HOU,166,32,.271,28,.169,27,.373,29,.187,3,25.38,23,1.61,31,5.18,30,.600,24,-1.96
NFL,0,0,.184,0,.134,0,.429,0,.240,0,28.42,0,1.37,0,4.61,0,.513,0,-1.04

