Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
BUF,188,1,22.53,6,1.40,3,.197,2,.128,7,.069,19,30.79,8,5.34,8,2.30,4,.614
DEN,191,2,23.02,13,1.52,30,.099,28,.063,31,.037,29,32.44,1,4.94,1,2.17,1,.598
WAS,189,3,23.39,1,1.17,22,.132,14,.095,30,.037,12,29.93,5,5.20,3,2.23,2,.603
PIT,172,4,23.65,3,1.30,7,.174,7,.110,10,.064,1,28.34,6,5.26,4,2.24,5,.623
TB,184,5,24.07,9,1.42,19,.136,17,.087,21,.049,26,31.87,9,5.39,15,2.37,6,.625
BAL,195,6,24.44,2,1.22,11,.169,9,.108,14,.062,3,28.83,7,5.30,7,2.29,3,.613
MIA,198,7,24.76,10,1.43,25,.116,21,.076,26,.040,20,30.92,4,5.18,11,2.31,8,.629
ARI,199,8,24.94,11,1.45,17,.151,23,.075,5,.075,8,29.56,2,5.10,2,2.21,7,.625
CHI,206,9,25.57,12,1.46,18,.141,18,.083,16,.058,25,31.65,3,5.17,5,2.25,9,.634
CLE,190,10,27.31,20,1.82,23,.126,19,.079,23,.047,30,32.47,13,5.51,24,2.41,15,.670
NYJ,177,11,27.35,8,1.42,10,.169,10,.107,13,.062,7,29.51,16,5.56,13,2.35,10,.656
CIN,191,12,27.39,15,1.68,12,.168,12,.105,12,.063,22,31.40,14,5.53,12,2.32,11,.659
NYG,184,13,27.79,21,1.89,15,.152,20,.076,4,.076,28,32.42,15,5.54,23,2.40,18,.684
PHI,181,14,27.97,5,1.40,21,.133,16,.094,29,.039,9,29.70,28,5.86,29,2.48,12,.663
NE,172,15,28.01,4,1.35,2,.203,6,.116,2,.087,17,30.56,25,5.83,18,2.38,13,.666
ATL,179,16,28.35,18,1.79,8,.173,11,.106,9,.067,6,29.50,19,5.63,25,2.44,23,.688
SF,189,17,28.90,29,2.21,29,.101,30,.048,18,.053,32,34.62,11,5.49,17,2.38,26,.697
SEA,189,18,29.40,22,1.93,5,.185,5,.122,11,.063,27,32.42,21,5.68,14,2.37,16,.678
DET,185,19,29.55,16,1.74,24,.124,22,.076,22,.049,4,28.88,27,5.85,26,2.45,20,.687
STL,178,20,29.56,24,1.97,32,.079,32,.034,25,.045,31,32.54,26,5.84,19,2.39,22,.688
DAL,177,21,29.86,27,2.13,27,.113,25,.073,28,.040,13,30.14,12,5.50,16,2.38,24,.692
SD,181,22,29.94,14,1.65,6,.177,3,.127,20,.050,5,29.06,20,5.64,10,2.31,19,.685
JAX,169,23,30.01,7,1.41,13,.166,15,.095,6,.071,2,28.83,29,5.88,28,2.47,14,.668
HOU,174,24,30.06,19,1.82,9,.172,4,.126,24,.046,14,30.26,22,5.72,27,2.46,21,.688
CAR,179,25,30.10,17,1.78,1,.207,1,.145,15,.061,11,29.77,24,5.79,20,2.40,17,.684
TEN,184,26,31.33,28,2.16,16,.152,13,.098,17,.054,21,31.30,10,5.40,6,2.26,27,.699
GB,175,27,31.42,26,2.09,31,.080,31,.046,32,.034,24,31.57,18,5.62,22,2.40,28,.703
NO,190,28,32.58,25,1.97,14,.163,26,.068,1,.095,10,29.74,23,5.76,21,2.40,25,.696
OAK,177,29,33.64,30,2.30,28,.102,29,.051,19,.051,16,30.54,31,6.15,32,2.58,31,.744
IND,174,30,33.69,23,1.97,4,.190,8,.109,3,.080,15,30.36,30,6.13,30,2.52,29,.709
KC,175,31,34.06,31,2.36,26,.114,24,.074,27,.040,18,30.75,17,5.57,9,2.30,30,.723
MIN,163,32,34.73,32,2.37,20,.135,27,.067,8,.067,23,31.47,32,6.40,31,2.57,32,.748
NFL,0,0,28.32,0,1.73,0,.147,0,.089,0,.057,0,30.71,0,5.57,0,2.37,0,.671

Team,Drives,TDs/Dr Rank,TDs/Dr,FG/Dr Rank,FG/Dr,Punts/Dr Rank,Punts/Dr,3Outs/Dr Rank,3Outs/Dr,LOS/KO Rank,LOS/KO,TD/FG Rank,TD/FG,Pts/RZ Rank,Pts/RZ,TDs/RZ Rank,TDs/RZ,Avg. Lead Rank,Avg. Lead
BUF,188,4,.138,27,.144,19,.415,5,.287,12,27.95,3,0.96,9,4.35,4,.435,6,3.76
DEN,191,13,.173,12,.110,4,.497,8,.277,13,27.98,14,1.57,7,4.20,12,.488,9,3.18
WAS,189,2,.127,3,.090,1,.540,3,.302,28,30.78,10,1.41,24,4.91,19,.559,18,0.56
PIT,172,3,.128,25,.134,10,.459,1,.308,14,28.01,2,0.96,19,4.73,11,.485,5,5.16
TB,184,9,.158,11,.109,8,.473,10,.272,19,29.10,11,1.45,6,4.13,7,.475,17,0.72
BAL,195,1,.118,24,.133,7,.482,2,.303,11,27.86,1,0.88,3,3.93,3,.409,7,3.53
MIA,198,11,.162,9,.101,2,.515,4,.293,5,25.43,15,1.60,17,4.66,20,.561,25,-1.52
ARI,199,6,.151,19,.126,6,.482,12,.256,1,22.74,6,1.20,11,4.45,6,.451,28,-1.75
CHI,206,7,.155,20,.126,13,.447,7,.282,32,31.53,8,1.23,5,4.06,5,.442,31,-3.33
CLE,190,16,.205,21,.126,12,.447,16,.237,10,27.85,16,1.63,27,5.06,25,.596,30,-2.94
NYJ,177,12,.164,4,.090,3,.503,11,.260,7,26.82,21,1.81,12,4.46,13,.488,10,2.76
CIN,191,14,.178,29,.147,20,.414,25,.204,18,28.91,7,1.21,15,4.63,10,.481,14,1.18
NYG,184,25,.223,10,.109,17,.418,15,.239,27,30.57,26,2.05,30,5.62,31,.720,22,-0.71
PHI,181,10,.160,6,.094,5,.486,6,.282,8,27.20,19,1.71,4,4.00,9,.478,4,6.20
NE,172,8,.157,1,.087,22,.401,22,.209,16,28.20,20,1.80,1,3.59,2,.408,1,7.44
ATL,179,23,.218,2,.089,14,.441,28,.190,2,22.94,30,2.44,26,5.04,28,.633,12,1.83
SF,189,29,.259,23,.132,18,.418,17,.222,29,31.09,24,1.96,25,4.98,26,.600,32,-4.31
SEA,189,22,.217,26,.143,24,.392,19,.217,24,30.20,12,1.52,22,4.86,22,.569,11,1.91
DET,185,21,.211,5,.092,11,.454,9,.276,3,24.76,28,2.29,14,4.60,16,.533,24,-1.40
STL,178,19,.208,32,.174,23,.399,23,.208,25,30.45,5,1.19,20,4.82,18,.554,26,-1.60
DAL,177,26,.254,15,.119,15,.441,20,.215,6,25.66,27,2.14,32,5.69,30,.711,21,-0.63
SD,181,15,.188,13,.110,30,.354,14,.243,20,29.10,18,1.70,10,4.44,14,.500,3,6.28
JAX,169,5,.148,17,.124,16,.438,26,.201,4,24.98,4,1.19,2,3.79,1,.383,20,0.09
HOU,174,18,.207,22,.126,25,.391,27,.201,9,27.69,17,1.64,16,4.64,21,.568,23,-1.24
CAR,179,17,.207,14,.112,31,.352,29,.190,26,30.52,22,1.85,13,4.54,17,.540,15,1.06
TEN,184,27,.255,18,.125,21,.402,13,.245,21,29.79,25,2.04,23,4.91,23,.574,13,1.39
GB,175,28,.257,8,.097,9,.463,18,.217,22,30.01,31,2.65,28,5.07,29,.636,19,0.27
NO,190,20,.211,31,.163,27,.368,30,.189,15,28.12,9,1.29,18,4.68,15,.525,29,-2.43
OAK,177,32,.288,7,.096,26,.379,21,.215,17,28.86,32,3.00,31,5.68,32,.732,27,-1.69
IND,174,24,.218,28,.144,32,.299,32,.126,30,31.13,13,1.52,8,4.20,8,.478,2,7.01
KC,175,31,.286,16,.120,28,.366,24,.206,31,31.31,29,2.38,29,5.13,27,.630,8,3.18
MIN,163,30,.276,30,.147,29,.362,31,.166,23,30.15,23,1.88,21,4.86,24,.587,16,0.96
NFL,0,0,.196,0,.120,0,.429,0,.237,0,28.43,0,1.63,0,4.66,0,.542,0,-1.03

