Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
JAX,197,1,22.91,1,1.26,3,.162,3,.107,5,.056,15,28.23,1,5.12,1,2.18,1,.600
DEN,186,2,25.00,14,1.81,27,.091,27,.054,21,.038,32,32.79,2,5.20,4,2.25,4,.643
ARI,194,3,25.46,8,1.66,23,.103,14,.077,28,.026,19,28.41,3,5.31,3,2.25,3,.642
MIN,174,4,25.91,2,1.40,22,.103,12,.080,29,.023,9,27.16,8,5.61,6,2.30,2,.633
PHI,182,5,27.48,4,1.51,4,.159,4,.104,6,.055,17,28.27,5,5.47,2,2.23,5,.643
BAL,189,6,27.56,5,1.53,1,.180,1,.116,3,.063,6,26.27,11,5.67,5,2.29,6,.651
PIT,172,7,28.45,10,1.72,10,.134,9,.093,19,.041,5,26.12,7,5.56,14,2.35,9,.662
SEA,190,8,28.48,9,1.69,16,.116,16,.074,18,.042,22,28.75,10,5.66,11,2.34,12,.668
LAR,190,9,28.60,7,1.66,6,.142,8,.095,11,.047,10,27.39,6,5.52,7,2.30,8,.661
WAS,189,10,28.72,19,1.86,12,.122,11,.085,23,.037,28,30.11,14,5.71,10,2.33,11,.667
TEN,179,11,28.77,17,1.84,17,.112,19,.067,13,.045,21,28.55,20,6.03,17,2.42,18,.687
CAR,174,12,29.09,13,1.80,13,.121,25,.057,4,.063,16,28.24,9,5.62,8,2.31,10,.665
LAC,177,13,29.54,3,1.47,5,.153,7,.102,9,.051,8,27.02,17,5.77,18,2.43,7,.654
CHI,169,14,29.73,11,1.72,15,.118,30,.047,1,.071,18,28.35,21,6.06,29,2.58,14,.680
CLE,179,15,29.85,26,2.06,31,.073,31,.039,25,.034,29,30.16,18,5.82,24,2.52,19,.697
MIA,177,16,29.86,27,2.07,28,.090,28,.051,20,.040,20,28.50,13,5.69,20,2.43,22,.701
CIN,183,17,30.32,16,1.83,30,.077,22,.060,32,.016,25,29.25,24,6.16,23,2.52,16,.684
HOU,187,18,30.52,31,2.17,29,.080,24,.059,31,.021,26,29.49,4,5.33,9,2.32,13,.678
NYJ,186,19,30.98,22,1.93,18,.108,23,.059,10,.048,13,27.91,16,5.77,12,2.35,20,.697
ATL,162,20,31.02,20,1.86,26,.093,29,.049,15,.043,24,29.17,32,6.32,31,2.58,27,.711
NO,175,21,31.06,12,1.74,9,.137,2,.114,30,.023,4,25.65,19,5.88,15,2.38,17,.684
DET,185,22,31.19,18,1.84,2,.168,6,.103,2,.065,11,27.61,15,5.72,13,2.35,24,.705
NYG,189,23,31.25,24,1.98,20,.106,18,.069,22,.037,30,30.17,12,5.69,16,2.39,15,.680
SF,180,24,31.69,25,2.03,25,.100,26,.056,14,.044,23,29.03,22,6.07,22,2.49,26,.710
DAL,163,25,32.28,15,1.83,21,.104,21,.061,16,.043,2,25.27,28,6.23,25,2.54,25,.709
BUF,175,26,32.47,23,1.97,8,.137,5,.103,24,.034,27,29.55,29,6.23,27,2.55,29,.715
OAK,166,27,33.43,28,2.13,32,.072,32,.030,17,.042,12,27.66,26,6.18,30,2.58,21,.700
GB,167,28,33.82,32,2.22,14,.120,20,.066,7,.054,31,30.37,27,6.21,32,2.59,31,.723
KC,173,29,34.34,21,1.91,7,.139,10,.092,12,.046,3,25.49,23,6.14,19,2.43,32,.723
IND,169,30,34.54,29,2.13,19,.107,15,.077,27,.030,7,27.01,30,6.24,28,2.57,28,.712
TB,167,31,35.10,30,2.13,11,.132,13,.078,8,.054,14,28.04,25,6.18,26,2.54,30,.720
NE,167,32,35.27,6,1.65,24,.102,17,.072,26,.030,1,24.63,31,6.27,21,2.48,23,.703
NFL,0,0,30.04,0,1.82,0,.118,0,.075,0,.043,0,28.17,0,5.81,0,2.41,0,.682

Team,Drives,TDs/Dr Rank,TDs/Dr,FG/Dr Rank,FG/Dr,Punts/Dr Rank,Punts/Dr,3Outs/Dr Rank,3Outs/Dr,LOS/KO Rank,LOS/KO,TD/FG Rank,TD/FG,Pts/RZ Rank,Pts/RZ,TDs/RZ Rank,TDs/RZ,Avg. Lead Rank,Avg. Lead
JAX,197,1,.132,2,.112,1,.508,5,.284,28,26.01,12,1.18,3,4.04,2,.393,6,5.38
DEN,186,18,.204,9,.129,4,.468,2,.312,32,27.17,26,1.58,22,4.85,23,.585,31,-3.59
ARI,194,12,.186,12,.134,3,.490,1,.320,12,24.67,20,1.38,26,5.00,24,.587,15,0.73
MIN,174,2,.132,18,.155,2,.494,3,.293,25,25.52,1,0.85,4,4.05,3,.410,5,5.66
PHI,182,5,.170,1,.110,7,.451,4,.286,18,25.19,24,1.55,14,4.63,19,.553,3,6.03
BAL,189,4,.159,14,.148,22,.407,9,.254,8,24.27,8,1.07,7,4.40,10,.489,12,2.87
PIT,172,17,.198,4,.116,11,.442,7,.262,7,24.19,29,1.70,27,5.00,27,.615,8,4.31
SEA,190,7,.174,20,.163,8,.447,14,.242,26,25.78,7,1.06,6,4.33,7,.476,21,-0.73
LAR,190,14,.189,6,.121,23,.405,30,.189,19,25.24,25,1.57,24,4.87,25,.587,1,7.21
WAS,189,15,.190,27,.180,16,.423,11,.249,5,24.06,6,1.06,18,4.81,13,.509,14,1.02
TEN,179,8,.179,32,.207,18,.419,10,.251,13,24.72,2,0.86,9,4.43,9,.482,18,0.00
CAR,174,11,.184,21,.167,26,.397,20,.230,21,25.29,9,1.10,16,4.66,8,.477,13,2.13
LAC,177,3,.158,10,.130,9,.446,18,.232,30,26.41,13,1.22,1,3.69,1,.361,9,3.68
CHI,169,6,.172,22,.172,12,.438,12,.249,10,24.46,4,1.00,13,4.63,12,.500,25,-1.54
CLE,179,29,.235,13,.140,6,.464,16,.240,31,26.62,27,1.68,31,5.43,32,.674,32,-5.75
MIA,177,28,.232,17,.153,15,.424,19,.232,1,23.03,22,1.52,29,5.25,30,.627,30,-3.19
CIN,183,10,.180,30,.191,10,.443,8,.257,23,25.32,3,0.94,15,4.64,6,.464,17,0.02
HOU,187,30,.235,25,.176,13,.433,15,.241,16,25.04,18,1.33,30,5.34,29,.623,22,-0.89
NYJ,186,27,.231,3,.113,5,.468,6,.274,15,24.94,32,2.05,17,4.73,20,.558,20,-0.63
ATL,162,16,.191,24,.173,21,.407,24,.222,27,25.90,10,1.11,5,4.15,5,.458,10,3.37
NO,175,13,.189,16,.149,25,.400,26,.211,17,25.10,15,1.27,8,4.42,14,.521,4,5.86
DET,185,20,.211,7,.124,29,.384,22,.227,3,23.41,28,1.70,28,5.07,28,.618,16,0.39
NYG,189,24,.222,15,.148,28,.392,21,.228,20,25.25,21,1.50,23,4.87,17,.547,24,-1.47
SF,180,25,.222,23,.172,20,.411,13,.244,22,25.29,16,1.29,25,4.89,26,.596,26,-1.71
DAL,163,21,.215,5,.117,14,.429,17,.239,4,23.58,31,1.84,11,4.55,22,.571,11,2.89
BUF,175,19,.206,28,.183,31,.354,32,.183,29,26.23,11,1.13,19,4.82,16,.536,19,-0.51
OAK,166,22,.217,31,.205,17,.422,23,.223,6,24.13,5,1.06,12,4.62,11,.489,27,-1.72
GB,167,31,.240,26,.180,24,.401,25,.216,24,25.33,17,1.33,32,5.63,31,.652,29,-1.84
KC,173,23,.220,8,.127,19,.416,28,.208,9,24.30,30,1.73,21,4.84,21,.560,7,4.55
IND,169,26,.225,29,.183,30,.373,31,.189,14,24.91,14,1.23,10,4.51,15,.529,23,-0.95
TB,167,32,.240,19,.156,32,.353,29,.192,11,24.61,23,1.54,20,4.83,18,.547,28,-1.76
NE,167,9,.180,11,.132,27,.395,27,.210,2,23.31,19,1.36,2,3.94,4,.438,2,6.57
NFL,0,0,.197,0,.152,0,.426,0,.241,0,24.95,0,1.30,0,4.71,0,.536,0,-1.14

