Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
LAR,181,1,24.96,1,1.48,18,.122,13,.077,14,.044,23,29.33,3,5.60,1,2.28,1,.648
PIT,186,2,26.33,2,1.65,6,.140,5,.097,16,.043,14,28.42,1,5.48,2,2.30,2,.650
WAS,182,3,27.07,3,1.74,15,.126,10,.088,20,.038,22,29.18,2,5.59,5,2.37,3,.663
SF,176,4,29.17,8,2.02,22,.108,20,.068,19,.040,25,30.35,6,5.82,3,2.34,4,.691
TB,174,5,30.56,6,1.92,5,.144,11,.086,7,.057,13,28.21,8,6.00,18,2.51,5,.703
NO,172,6,31.13,7,1.96,8,.134,2,.105,27,.029,8,27.10,7,5.88,6,2.39,6,.706
PHI,188,7,31.43,14,2.16,25,.101,31,.043,6,.059,28,30.61,4,5.77,7,2.39,7,.707
CHI,173,8,32.29,10,2.06,28,.092,26,.058,24,.035,19,28.78,9,6.05,10,2.45,9,.712
BAL,166,9,33.13,4,1.75,13,.127,24,.060,3,.066,4,25.42,17,6.25,12,2.46,11,.726
LAC,165,10,33.13,21,2.44,24,.103,14,.073,26,.030,31,31.71,14,6.19,16,2.49,14,.731
DEN,175,11,33.29,19,2.37,30,.086,28,.057,28,.029,30,31.60,11,6.14,14,2.48,10,.716
ARI,168,12,33.83,9,2.04,23,.107,21,.065,17,.042,12,27.88,21,6.43,27,2.59,17,.738
IND,164,13,33.96,11,2.07,4,.146,7,.091,10,.055,3,25.35,12,6.15,15,2.48,12,.726
GB,157,14,34.25,17,2.22,20,.115,16,.070,13,.045,17,28.61,20,6.37,13,2.48,16,.738
MIA,175,15,34.30,5,1.80,1,.160,3,.103,9,.057,6,26.26,5,5.81,4,2.36,8,.710
BUF,169,16,34.42,16,2.22,2,.154,9,.089,4,.065,7,26.40,16,6.20,8,2.40,15,.737
SEA,172,17,35.19,12,2.12,17,.122,12,.081,18,.041,2,25.22,27,6.65,17,2.49,18,.742
NYG,157,18,35.43,15,2.17,12,.127,17,.070,8,.057,15,28.49,31,6.81,30,3.08,20,.745
