Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
KC,165,19,35.65,13,2.13,9,.133,4,.097,22,.036,5,25.93,19,6.33,20,2.53,19,.743
DAL,174,20,36.05,25,2.57,14,.126,27,.057,2,.069,29,30.92,13,6.17,21,2.53,21,.749
CIN,171,21,36.21,20,2.40,26,.099,22,.064,23,.035,20,28.87,10,6.13,9,2.44,13,.731
CLE,160,22,36.22,23,2.52,10,.131,18,.069,5,.063,26,30.41,25,6.58,19,2.53,24,.759
NYJ,171,23,37.58,24,2.54,21,.111,25,.058,12,.053,24,30.30,23,6.47,25,2.58,25,.759
NE,150,24,37.61,18,2.26,3,.147,1,.120,30,.027,1,24.51,26,6.64,32,3.17,22,.753
CAR,154,25,37.78,26,2.57,11,.130,29,.045,1,.084,21,29.03,29,6.77,26,2.58,27,.768
MIN,165,26,37.98,28,2.68,19,.115,8,.091,32,.024,32,32.68,22,6.46,23,2.55,26,.759
ATL,169,27,38.38,22,2.45,16,.124,15,.071,11,.053,16,28.51,18,6.26,11,2.46,23,.754
JAX,176,28,39.95,29,2.77,27,.097,19,.068,29,.028,27,30.53,15,6.20,24,2.55,28,.768
LV,160,29,40.10,31,2.86,29,.088,23,.063,31,.025,18,28.74,28,6.66,22,2.54,29,.779
TEN,161,30,40.19,27,2.67,7,.137,6,.093,15,.043,10,27.61,30,6.78,29,3.08,30,.785
HOU,159,31,41.88,30,2.85,32,.057,32,.019,21,.038,9,27.50,32,6.84,31,3.16,31,.788
DET,164,32,41.89,32,3.04,31,.073,30,.043,25,.030,11,27.80,24,6.58,28,3.06,32,.807
NFL,,,34.59,,2.26,,.118,,.073,,.045,,28.54,,6.23,,2.50,,.735

Team,Drives,TDs/Dr Rank,TDs/Dr,FG/Dr Rank,FG/Dr,Punts/Dr Rank,Punts/Dr,3Outs/Dr Rank,3Outs/Dr,LOS/KO Rank,LOS/KO,TD/FG Rank,TD/FG,Pts/RZ Rank,Pts/RZ,TDs/RZ Rank,TDs/RZ,Avg. Lead Rank,Avg. Lead
LAR,181,1,.160,8,.122,1,.464,1,.282,26,26.34,4,1.32,7,4.74,11,.587,13,2.44
PIT,186,2,.188,4,.108,2,.435,2,.274,11,25.25,17,1.75,6,4.69,6,.556,9,3.90
WAS,182,3,.192,11,.132,3,.401,5,.220,29,26.65,9,1.46,3,4.63,4,.535,28,-2.60
SF,176,4,.210,26,.188,4,.392,3,.227,30,26.81,2,1.12,20,5.07,9,.578,17,0.93
TB,174,7,.224,7,.121,9,.374,11,.207,27,26.39,21,1.86,18,5.06,20,.627,10,3.77
NO,172,9,.227,9,.128,7,.384,6,.215,3,23.91,18,1.77,24,5.20,29,.680,5,4.63
PHI,188,16,.250,15,.144,8,.378,4,.223,21,26.03,16,1.74,15,5.00,26,.647,26,-1.90
CHI,173,8,.225,21,.168,14,.364,9,.208,16,25.47,5,1.34,10,4.83,5,.547,18,0.50
BAL,166,5,.211,1,.096,13,.367,14,.199,5,24.14,27,2.19,19,5.07,17,.622,2,8.22
LAC,165,21,.279,24,.170,12,.370,12,.206,20,26.03,14,1.64,14,5.00,12,.593,16,1.16
DEN,175,14,.246,32,.223,15,.360,7,.211,32,28.03,1,1.10,5,4.68,1,.483,30,-3.64
ARI,168,11,.232,18,.149,5,.387,18,.190,4,24.07,11,1.56,1,4.39,3,.518,15,2.29
IND,164,13,.244,6,.116,6,.384,19,.189,2,23.90,25,2.11,17,5.02,19,.627,7,4.26
GB,157,15,.248,19,.153,16,.357,20,.185,24,26.13,12,1.63,21,5.13,8,.577,3,7.80
MIA,175,6,.217,2,.097,11,.371,15,.194,8,24.72,28,2.24,4,4.64,7,.574,11,3.27
BUF,169,18,.260,12,.136,10,.373,10,.207,1,23.73,22,1.91,25,5.22,28,.655,1,8.22
SEA,172,12,.238,22,.169,22,.320,8,.209,7,24.67,8,1.41,9,4.80,18,.625,6,4.26
NYG,157,10,.229,30,.204,17,.350,22,.178,25,26.24,3,1.13,2,4.59,2,.517,23,-0.32
KC,165,19,.261,5,.109,19,.345,16,.194,15,25.41,30,2.39,32,5.68,32,.766,4,5.72
DAL,174,27,.310,13,.138,26,.310,27,.161,19,25.93,29,2.25,16,5.02,16,.618,25,-1.70
CIN,171,20,.263,28,.193,20,.345,17,.193,13,25.39,6,1.36,30,5.34,24,.638,24,-1.67
CLE,160,26,.300,16,.144,25,.313,25,.169,22,26.05,24,2.09,12,4.93,13,.607,12,2.69
NYJ,171,24,.292,23,.170,27,.304,24,.170,14,25.41,15,1.72,8,4.80,14,.610,31,-5.61
NE,150,17,.260,17,.147,18,.347,21,.180,6,24.53,19,1.77,27,5.31,27,.653,22,-0.25
CAR,154,23,.292,27,.188,21,.331,31,.123,17,25.80,10,1.55,28,5.32,21,.632,21,-0.21
MIN,165,25,.297,31,.212,32,.255,32,.121,31,27.57,7,1.40,11,4.86,10,.586,20,0.12
ATL,169,22,.290,14,.142,23,.320,26,.166,12,25.30,23,2.04,13,5.00,25,.643,8,3.97
JAX,176,28,.324,25,.176,31,.273,28,.159,28,26.45,20,1.84,22,5.16,23,.635,32,-6.08
LV,160,29,.325,29,.200,28,.300,13,.200,10,25.13,13,1.63,26,5.24,15,.618,19,0.50
TEN,161,30,.335,10,.130,30,.280,29,.130,23,26.08,31,2.57,29,5.32,30,.692,14,2.40
HOU,159,31,.340,20,.157,24,.314,23,.170,9,24.84,26,2.16,23,5.19,22,.635,27,-2.40
DET,164,32,.396,3,.098,29,.287,30,.128,18,25.87,32,4.06,31,5.40,31,.723,29,-3.49
NFL,,,.260,,.150,,.350,,.192,,25.53,,1.73,,5.02,,.614,,-1.26

