Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
DEN,195,1,24.47,1,1.41,17,.123,17,.072,13,.051,29,29.49,2,5.42,5,2.30,2,.635
HOU,193,2,25.29,6,1.52,23,.114,16,.073,20,.041,28,29.26,1,5.21,2,2.24,3,.639
CAR,194,3,26.54,3,1.46,1,.196,1,.124,2,.072,13,26.88,5,5.57,1,2.20,4,.648
NYJ,187,4,26.91,5,1.50,6,.150,5,.096,11,.053,16,27.40,3,5.53,4,2.29,1,.632
ARI,182,5,27.62,11,1.69,2,.170,4,.104,5,.066,15,27.35,4,5.53,3,2.27,5,.656
SEA,166,6,28.45,4,1.49,10,.139,11,.084,10,.054,1,23.61,15,5.81,24,2.45,6,.658
NE,184,7,28.96,8,1.56,22,.114,20,.065,14,.049,2,23.71,12,5.78,9,2.35,8,.666
KC,179,8,29.71,7,1.53,3,.156,2,.123,25,.034,3,24.37,18,5.88,8,2.35,11,.680
CIN,177,9,29.94,2,1.46,4,.153,3,.119,24,.034,4,24.59,22,5.97,16,2.40,10,.670
TEN,175,10,30.27,27,2.18,28,.086,24,.063,29,.023,25,28.64,11,5.78,25,2.45,23,.709
GB,181,11,30.46,10,1.66,21,.116,10,.088,28,.028,9,26.57,9,5.75,14,2.38,9,.670
STL,192,12,30.51,9,1.57,14,.125,19,.068,8,.057,8,26.48,17,5.83,21,2.44,7,.661
PIT,182,13,30.82,12,1.75,7,.148,7,.093,9,.055,24,28.60,21,5.92,18,2.42,13,.690
BAL,181,14,30.90,20,2.02,31,.066,32,.033,26,.033,19,27.56,6,5.69,17,2.41,12,.688
OAK,188,15,31.58,15,1.95,20,.117,15,.074,19,.043,20,27.63,24,5.98,13,2.37,15,.695
IND,188,16,31.82,21,2.03,13,.128,8,.090,22,.037,14,27.02,16,5.83,10,2.36,16,.695
BUF,178,17,31.91,14,1.94,15,.124,6,.096,27,.028,21,27.66,10,5.76,7,2.32,18,.699
DET,177,18,31.97,28,2.22,25,.096,28,.051,17,.045,30,29.61,8,5.74,11,2.37,22,.709
CHI,170,19,32.11,22,2.06,29,.082,31,.047,23,.035,7,26.41,19,5.89,22,2.45,19,.703
MIN,170,20,32.57,13,1.76,16,.124,14,.076,16,.047,5,25.13,28,6.11,28,2.47,17,.696
DAL,168,21,32.64,16,1.98,32,.060,30,.048,32,.012,22,28.00,26,6.08,20,2.44,20,.704
PHI,194,22,32.67,23,2.07,12,.129,13,.077,12,.052,12,26.86,23,5.97,27,2.46,24,.712
JAX,184,23,32.83,26,2.16,26,.092,29,.049,18,.043,23,28.23,29,6.11,29,2.48,27,.721
MIA,182,24,32.88,19,2.02,27,.088,18,.071,31,.016,17,27.41,25,6.02,30,2.50,26,.718
WAS,179,25,33.18,17,1.98,5,.151,25,.061,1,.089,18,27.45,13,5.79,6,2.32,21,.704
SD,171,26,33.19,25,2.11,24,.105,22,.064,21,.041,32,31.02,7,5.73,15,2.39,14,.694
TB,170,27,33.28,30,2.34,11,.135,21,.065,3,.071,31,29.88,31,6.25,31,2.56,31,.736
ATL,166,28,33.95,18,1.99,9,.139,9,.090,15,.048,10,26.63,27,6.10,19,2.42,29,.725
SF,176,29,34.51,24,2.10,30,.068,27,.051,30,.017,26,28.84,32,6.28,32,3.04,28,.725
CLE,173,30,35.72,31,2.34,18,.121,23,.064,7,.058,27,28.89,20,5.91,23,2.45,25,.715
NYG,183,31,36.30,29,2.27,8,.148,12,.082,6,.066,6,25.44,30,6.18,26,2.46,30,.728
NO,176,32,38.62,32,2.63,19,.119,26,.051,4,.068,11,26.75,14,5.79,12,2.37,32,.762
NFL,0,0,31.26,0,1.89,0,.122,0,.076,0,.046,0,27.30,0,5.85,0,2.40,0,.693

Team,Drives,TDs/Dr Rank,TDs/Dr,FG/Dr Rank,FG/Dr,Punts/Dr Rank,Punts/Dr,3Outs/Dr Rank,3Outs/Dr,LOS/KO Rank,LOS/KO,TD/FG Rank,TD/FG,Pts/RZ Rank,Pts/RZ,TDs/RZ Rank,TDs/RZ,Avg. Lead Rank,Avg. Lead
DEN,195,4,.149,9,.128,3,.472,5,.262,21,22.29,7,1.16,10,4.70,20,.595,13,1.55
HOU,193,8,.176,3,.104,2,.523,3,.275,13,21.83,23,1.70,7,4.59,15,.564,22,-0.94
CAR,194,6,.165,2,.103,23,.402,22,.211,9,21.38,21,1.60,5,4.38,10,.525,1,8.66
NYJ,187,5,.155,13,.139,5,.460,2,.299,8,21.30,6,1.12,1,3.64,1,.359,10,2.55
ARI,182,10,.181,17,.143,14,.429,25,.203,10,21.48,9,1.27,11,4.72,14,.553,3,7.33
SEA,166,1,.145,22,.163,1,.524,4,.271,7,21.30,2,0.89,4,4.37,3,.421,6,5.77
NE,184,7,.174,7,.125,4,.467,1,.315,3,20.20,14,1.39,21,4.93,17,.571,2,7.68
KC,179,9,.179,1,.101,13,.430,21,.212,22,22.36,25,1.78,20,4.93,23,.600,5,6.09
CIN,177,3,.147,19,.147,10,.435,8,.243,2,20.20,3,1.00,6,4.47,5,.474,4,6.36
TEN,175,28,.257,11,.131,17,.423,6,.251,16,21.89,30,1.96,28,5.21,27,.623,31,-2.99
GB,181,11,.182,12,.133,7,.453,12,.232,29,23.03,13,1.38,17,4.82,16,.571,11,2.01
STL,192,2,.146,30,.182,12,.432,19,.214,6,21.13,1,0.80,9,4.63,2,.417,15,0.59
PIT,182,13,.192,18,.143,26,.385,26,.203,25,22.79,12,1.35,2,4.16,6,.491,8,3.45
BAL,181,16,.221,25,.166,8,.442,15,.221,4,20.81,10,1.33,13,4.76,12,.543,27,-1.94
OAK,188,14,.197,32,.191,28,.378,20,.213,23,22.53,4,1.03,16,4.81,8,.517,18,0.17
IND,188,19,.229,20,.149,15,.426,17,.218,5,20.92,20,1.54,22,5.09,26,.623,25,-1.53
BUF,178,17,.225,6,.124,18,.421,11,.236,1,20.07,27,1.82,18,4.87,21,.600,17,0.39
DET,177,30,.260,16,.141,22,.407,18,.215,27,22.93,28,1.84,25,5.10,28,.627,14,1.16
CHI,170,23,.235,15,.141,9,.435,7,.247,30,23.16,22,1.67,26,5.11,22,.600,28,-2.15
MIN,170,12,.182,24,.165,16,.424,14,.224,26,22.81,5,1.11,3,4.16,4,.442,7,3.58
DAL,168,15,.208,29,.179,11,.435,16,.220,20,22.13,8,1.17,8,4.60,9,.521,21,-0.83
PHI,194,24,.237,14,.139,6,.454,10,.237,15,21.87,24,1.70,31,5.38,31,.656,20,-0.47
JAX,184,25,.239,23,.163,25,.386,23,.207,12,21.77,17,1.47,29,5.23,25,.614,29,-2.18
MIA,182,26,.242,4,.115,21,.418,13,.225,32,23.66,31,2.10,19,4.92,24,.600,26,-1.66
WAS,179,20,.229,10,.128,27,.380,30,.184,18,22.04,26,1.78,12,4.76,13,.551,9,3.04
SD,171,18,.228,27,.170,19,.421,9,.240,31,23.59,11,1.34,14,4.80,7,.500,23,-1.04
TB,170,29,.259,31,.182,29,.359,32,.171,19,22.12,15,1.42,32,5.46,30,.643,24,-1.25
ATL,166,22,.235,5,.120,24,.392,28,.193,17,21.97,29,1.95,23,5.10,29,.635,16,0.48
SF,176,21,.233,21,.159,20,.420,31,.182,28,23.00,16,1.46,27,5.19,19,.593,32,-5.22
CLE,173,31,.260,28,.173,30,.358,27,.197,14,21.87,19,1.50,24,5.10,18,.581,30,-2.90
NYG,183,27,.251,26,.169,32,.344,29,.191,11,21.70,18,1.48,15,4.81,11,.538,19,-0.16
NO,176,32,.324,8,.125,31,.347,24,.205,24,22.72,32,2.59,30,5.29,32,.677,12,1.83
NFL,0,0,.210,0,.145,0,.422,0,.226,0,21.93,0,1.45,0,4.85,0,.563,0,-1.19

