Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
NE,186,1,23.40,1,1.02,2,.183,1,.134,14,.048,1,25.18,1,5.13,2,2.24,1,.611
SF,175,2,25.47,4,1.65,7,.143,20,.069,4,.074,17,28.56,4,5.63,10,2.38,4,.669
PIT,182,3,26.45,3,1.55,1,.203,2,.110,1,.093,27,29.88,7,5.80,16,2.45,3,.667
BUF,177,4,27.46,2,1.34,14,.124,10,.079,17,.045,14,27.98,5,5.66,11,2.41,2,.663
NYJ,186,5,28.39,11,1.82,21,.102,21,.065,22,.038,31,31.26,6,5.69,9,2.38,5,.670
CHI,175,6,28.63,6,1.69,18,.109,27,.057,12,.051,25,29.84,16,5.94,13,2.42,8,.683
PHI,181,7,28.90,15,1.92,20,.105,24,.061,18,.044,19,28.81,2,5.45,1,2.23,6,.672
TB,189,8,29.90,20,2.11,8,.143,23,.063,2,.079,32,31.70,10,5.85,3,2.27,11,.691
LAR,177,9,30.03,13,1.90,12,.130,17,.073,9,.056,23,29.32,18,6.08,17,2.47,15,.700
BAL,161,10,30.37,5,1.67,5,.149,8,.081,6,.068,10,27.39,12,5.89,4,2.31,7,.673
TEN,184,11,30.77,9,1.80,16,.120,12,.076,19,.043,13,27.88,8,5.84,14,2.42,12,.698
NO,173,12,31.08,16,1.93,13,.127,13,.075,11,.052,5,26.51,14,5.90,5,2.32,14,.699
CAR,189,13,31.68,28,2.34,19,.106,15,.074,26,.032,30,30.51,3,5.63,6,2.36,21,.722
DEN,169,14,31.75,7,1.75,31,.089,25,.059,28,.030,18,28.68,23,6.15,24,2.54,9,.684
DAL,168,15,31.82,14,1.91,22,.101,30,.042,8,.060,28,30.04,24,6.18,23,2.52,17,.711
GB,173,16,32.20,10,1.81,6,.145,4,.098,16,.046,15,28.06,15,5.92,7,2.37,10,.690
LAC,154,17,32.47,18,2.06,29,.091,19,.071,31,.019,20,28.99,22,6.14,30,3.02,16,.707
MIN,171,18,32.66,8,1.76,3,.175,3,.099,3,.076,11,27.75,27,6.33,25,2.54,13,.698
IND,165,19,32.92,19,2.09,11,.133,6,.091,20,.042,21,29.20,20,6.12,26,2.54,18,.716
NYG,180,20,33.20,25,2.30,30,.089,29,.056,25,.033,26,29.87,17,5.99,18,2.47,23,.724
CLE,176,21,33.76,21,2.13,17,.114,9,.080,24,.034,12,27.78,13,5.89,15,2.43,22,.723
