Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
PIT,183,1,20.60,2,1.12,10,.148,7,.109,23,.038,20,30.68,5,5.43,4,2.29,2,.594
BAL,189,2,21.68,1,1.11,2,.180,2,.138,21,.042,7,28.34,1,4.97,1,2.16,1,.576
PHI,195,3,22.77,4,1.29,14,.138,17,.077,9,.062,21,30.85,2,5.22,2,2.24,3,.595
MIN,185,4,24.34,5,1.45,18,.130,26,.065,8,.065,26,31.48,3,5.25,3,2.26,4,.617
TEN,192,5,24.87,3,1.22,8,.156,8,.104,16,.052,13,29.31,6,5.47,8,2.34,5,.623
CHI,201,6,25.75,9,1.67,12,.144,6,.109,24,.035,25,31.18,7,5.53,7,2.33,9,.657
DAL,182,7,25.88,13,1.77,25,.110,30,.044,7,.066,29,32.46,8,5.54,10,2.37,8,.645
TB,182,8,26.11,8,1.66,9,.154,3,.121,27,.033,12,29.30,4,5.28,6,2.33,6,.632
WAS,171,9,26.53,6,1.57,27,.105,18,.076,30,.029,5,27.85,11,5.58,11,2.39,7,.644
NYG,169,10,27.46,7,1.61,13,.142,9,.101,22,.041,9,28.95,13,5.62,9,2.35,10,.660
SF,179,11,28.18,22,1.99,28,.101,25,.067,26,.034,32,33.78,22,5.93,18,2.43,13,.672
CAR,179,12,28.64,10,1.68,19,.128,24,.067,10,.061,3,27.68,20,5.86,19,2.44,12,.670
CIN,178,13,28.75,18,1.85,21,.124,22,.067,12,.056,22,30.88,18,5.78,25,2.51,15,.679
ARI,179,14,28.87,28,2.26,7,.156,20,.073,3,.084,30,32.80,16,5.69,13,2.40,25,.706
NE,167,15,28.98,12,1.77,17,.132,14,.084,17,.048,6,27.92,12,5.62,14,2.40,11,.669
GB,184,16,29.43,23,1.99,11,.147,4,.120,31,.027,28,32.09,9,5.57,5,2.30,14,.674
NYJ,174,17,29.74,15,1.80,3,.172,15,.080,1,.092,18,30.38,24,5.99,20,2.45,20,.692
BUF,170,18,30.43,20,1.92,22,.118,27,.059,11,.059,23,31.08,21,5.87,23,2.46,16,.680
ATL,174,19,30.73,16,1.83,31,.092,28,.057,25,.034,1,27.17,19,5.84,16,2.42,21,.693
OAK,188,20,31.12,21,1.98,23,.117,13,.085,28,.032,11,29.10,14,5.68,17,2.43,19,.691
NO,171,21,31.75,24,2.04,24,.117,12,.088,29,.029,19,30.58,26,6.05,22,2.46,18,.687
JAX,165,22,32.05,26,2.14,29,.097,16,.079,32,.018,24,31.14,17,5.73,21,2.45,23,.696
HOU,168,23,32.07,27,2.21,20,.125,21,.071,15,.054,10,29.04,15,5.68,12,2.39,24,.704
MIA,164,24,32.22,11,1.75,5,.165,5,.110,14,.055,4,27.79,28,6.16,24,2.49,17,.687
STL,178,25,32.50,29,2.34,16,.135,23,.067,6,.067,27,31.92,10,5.58,15,2.41,27,.708
SEA,180,26,32.91,25,2.10,26,.106,29,.050,13,.056,8,28.81,25,6.03,27,2.57,22,.695
IND,151,27,33.29,14,1.77,4,.172,10,.099,4,.073,2,27.26,32,6.74,32,3.18,26,.706
CLE,164,28,33.31,17,1.84,1,.183,1,.140,20,.043,17,30.30,29,6.21,31,3.07,28,.709
SD,167,29,33.75,19,1.92,15,.138,11,.090,18,.048,14,29.77,31,6.40,28,2.58,29,.721
KC,175,30,35.82,30,2.39,6,.160,19,.074,2,.086,31,33.33,27,6.11,26,2.55,30,.727
DEN,162,31,36.86,31,2.58,32,.080,31,.037,19,.043,16,30.20,30,6.27,30,3.03,31,.738
DET,172,32,37.20,32,2.72,30,.093,32,.023,5,.070,15,30.17,23,5.96,29,3.01,32,.751
NFL,0,0,29.36,0,1.84,0,.133,0,.082,0,.051,0,30.14,0,5.75,0,2.43,0,.676

Team,Drives,TDs/Dr Rank,TDs/Dr,FG/Dr Rank,FG/Dr,Punts/Dr Rank,Punts/Dr,3Outs/Dr Rank,3Outs/Dr,LOS/KO Rank,LOS/KO,TD/FG Rank,TD/FG,Pts/RZ Rank,Pts/RZ,TDs/RZ Rank,TDs/RZ,Avg. Lead Rank,Avg. Lead
PIT,183,1,.104,12,.131,3,.492,4,.301,16,26.83,3,0.79,1,3.69,1,.333,10,3.68
BAL,189,2,.111,3,.111,4,.481,2,.317,15,26.80,5,1.00,2,3.72,2,.359,4,4.78
PHI,195,4,.133,9,.123,1,.518,5,.297,6,25.70,11,1.08,15,4.64,15,.528,3,5.24
MIN,185,5,.146,16,.141,11,.432,12,.238,24,28.28,10,1.04,3,3.94,4,.426,13,2.54
TEN,192,3,.130,2,.104,7,.448,18,.229,12,26.61,14,1.25,4,4.14,7,.465,5,4.74
CHI,201,12,.184,11,.129,15,.403,16,.234,28,28.43,18,1.42,19,4.73,19,.545,9,3.96
DAL,182,8,.165,31,.209,16,.401,10,.242,25,28.30,2,0.79,14,4.61,6,.464,20,0.52
TB,182,9,.170,21,.154,10,.434,6,.275,21,27.77,12,1.11,28,5.25,22,.556,17,1.84
WAS,171,7,.164,15,.140,2,.509,1,.327,4,25.52,13,1.17,23,4.98,21,.548,24,-0.95
