Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
NYG,169,11,.183,4,.112,5,.450,7,.260,31,30.61,23,1.63,7,4.31,10,.486,1,5.80
SF,179,16,.201,26,.196,18,.397,14,.235,27,28.43,8,1.03,9,4.33,8,.481,19,0.61
CAR,179,13,.184,13,.134,8,.447,13,.235,3,25.34,16,1.38,16,4.65,18,.531,8,4.06
CIN,178,22,.213,10,.124,9,.444,17,.230,26,28.33,26,1.73,26,5.12,26,.592,25,-1.24
ARI,179,30,.274,7,.117,30,.335,29,.184,22,27.83,32,2.33,25,5.07,28,.636,23,-0.68
NE,167,18,.210,1,.102,6,.449,3,.311,5,25.57,30,2.06,32,5.44,31,.667,6,4.26
GB,184,24,.228,14,.136,13,.413,9,.245,29,28.77,24,1.68,20,4.86,23,.569,15,2.27
NYJ,174,15,.195,17,.144,19,.397,30,.184,19,27.43,15,1.36,11,4.47,12,.509,7,4.10
BUF,170,14,.188,29,.200,23,.376,21,.212,10,26.51,4,0.94,6,4.20,5,.426,22,-0.38
ATL,174,20,.213,5,.115,12,.431,11,.241,1,24.74,28,1.85,12,4.56,13,.519,2,5.54
OAK,188,25,.229,8,.122,20,.388,22,.202,2,25.21,29,1.87,21,4.89,24,.574,30,-4.05
NO,171,17,.205,28,.199,21,.386,15,.234,23,28.09,9,1.03,18,4.72,9,.483,16,2.22
JAX,165,26,.236,22,.164,14,.406,8,.255,13,26.67,20,1.44,24,4.98,25,.585,26,-2.28
HOU,168,27,.250,20,.149,17,.399,20,.214,9,26.46,25,1.68,31,5.43,30,.652,18,0.80
MIA,164,10,.177,24,.177,25,.366,24,.195,30,30.20,6,1.00,13,4.57,11,.489,12,2.70
STL,178,28,.258,23,.174,24,.376,23,.197,7,25.74,21,1.48,29,5.28,29,.642,31,-5.66
SEA,180,19,.211,30,.206,22,.378,19,.228,11,26.54,7,1.03,22,4.96,17,.529,28,-2.38
IND,151,6,.159,32,.219,28,.351,25,.192,17,26.84,1,0.73,5,4.19,3,.404,14,2.42
CLE,164,21,.213,6,.116,26,.360,32,.146,14,26.68,27,1.84,10,4.42,14,.519,27,-2.36
SD,167,23,.216,18,.144,27,.359,27,.192,20,27.72,22,1.50,8,4.32,16,.528,11,2.91
KC,175,29,.263,25,.189,32,.286,31,.160,32,32.08,17,1.39,17,4.70,20,.545,29,-2.42
DEN,162,31,.284,27,.198,31,.321,28,.185,18,26.99,19,1.44,27,5.13,27,.600,21,-0.15
DET,172,32,.326,19,.145,29,.343,26,.192,8,26.38,31,2.24,30,5.31,32,.672,32,-7.03
NFL,0,0,.200,0,.150,0,.407,0,.232,0,27.30,0,1.33,0,4.69,0,.531,0,-1.14

