Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
TEN,187,1,20.25,2,0.91,18,.139,17,.091,22,.048,4,28.98,2,4.97,2,2.14,2,.558
BAL,189,2,20.93,1,0.80,1,.243,5,.122,1,.122,2,28.40,1,4.95,1,2.14,1,.555
BUF,193,3,22.66,14,1.59,16,.145,20,.083,13,.062,29,35.11,4,5.15,8,2.25,4,.609
TB,199,4,23.20,5,1.28,4,.201,4,.126,6,.075,20,31.71,10,5.39,10,2.27,6,.622
NYJ,195,5,24.06,9,1.42,11,.169,9,.108,14,.062,19,31.70,11,5.43,9,2.26,5,.614
PIT,185,6,24.34,6,1.30,9,.173,16,.092,3,.081,13,30.45,14,5.47,11,2.27,3,.607
DET,196,7,24.57,10,1.47,5,.199,3,.128,8,.071,6,29.43,5,5.19,6,2.25,9,.627
NYG,188,8,24.81,7,1.31,13,.154,10,.106,23,.048,16,31.41,8,5.38,5,2.24,11,.634
MIA,189,9,24.86,3,1.16,3,.201,1,.148,19,.053,7,29.89,9,5.39,13,2.29,10,.634
JAX,187,10,25.07,16,1.66,17,.144,25,.064,4,.080,14,30.48,3,5.06,7,2.25,8,.627
PHI,189,11,25.33,4,1.22,14,.153,12,.101,20,.053,17,31.43,20,5.71,17,2.37,12,.637
SD,201,12,25.59,24,1.98,30,.100,21,.080,31,.020,31,35.69,7,5.35,14,2.30,15,.665
GB,188,13,25.69,15,1.64,19,.133,7,.112,30,.021,22,32.07,12,5.44,12,2.28,13,.650
WAS,174,14,26.02,8,1.34,10,.172,13,.098,7,.075,18,31.66,16,5.53,16,2.36,7,.624
CHI,187,15,26.87,21,1.79,28,.102,27,.059,25,.043,26,33.20,17,5.61,19,2.39,17,.669
OAK,189,16,27.53,11,1.50,7,.190,8,.111,5,.079,1,27.99,15,5.48,4,2.23,19,.672
KC,189,17,27.81,18,1.73,15,.148,22,.079,10,.069,9,29.99,18,5.62,23,2.44,23,.686
NO,171,18,27.85,12,1.57,8,.181,6,.117,12,.064,15,30.51,19,5.64,18,2.38,16,.666
CIN,189,19,28.20,22,1.81,29,.101,31,.048,18,.053,30,35.54,23,5.80,25,2.44,18,.670
DAL,181,20,29.23,23,1.84,21,.127,18,.088,28,.039,24,33.12,22,5.79,27,2.47,21,.682
NE,184,21,29.62,17,1.72,23,.120,29,.054,11,.065,10,30.07,27,5.93,21,2.43,24,.686
DEN,187,22,30.06,19,1.75,2,.214,2,.144,9,.070,5,29.09,6,5.22,3,2.15,14,.665
STL,182,23,30.50,30,2.35,22,.126,11,.104,29,.022,25,33.15,13,5.46,15,2.32,26,.709
IND,177,24,30.58,20,1.75,24,.119,23,.079,26,.040,3,28.60,25,5.89,22,2.44,22,.686
ATL,178,25,30.62,25,2.04,20,.129,19,.084,24,.045,8,29.99,21,5.72,20,2.42,25,.689
CAR,175,26,30.70,13,1.58,6,.194,14,.097,2,.097,23,32.23,26,5.89,24,2.44,20,.679
CLE,183,27,31.14,28,2.19,26,.115,26,.060,17,.055,28,34.83,29,6.22,29,2.55,28,.712
ARI,172,28,32.92,31,2.41,25,.116,28,.058,16,.058,27,33.85,31,6.30,31,3.04,31,.735
SF,177,29,33.02,29,2.31,27,.113,24,.073,27,.040,11,30.22,28,5.95,26,2.44,29,.727
SEA,179,30,34.39,27,2.15,12,.156,15,.095,15,.061,21,31.99,24,5.84,28,2.53,27,.709
MIN,165,31,34.47,26,2.12,31,.097,30,.048,21,.048,12,30.42,30,6.28,30,2.57,30,.733
NFL,0,0,27.40,0,1.66,0,.151,0,.093,0,.059,0,31.41,0,5.57,0,2.35,0,.661

Team,Drives,TDs/Dr Rank,TDs/Dr,FG/Dr Rank,FG/Dr,Punts/Dr Rank,Punts/Dr,3Outs/Dr Rank,3Outs/Dr,LOS/KO Rank,LOS/KO,TD/FG Rank,TD/FG,Pts/RZ Rank,Pts/RZ,TDs/RZ Rank,TDs/RZ,Avg. Lead Rank,Avg. Lead
TEN,187,2,.091,4,.091,1,.561,1,.337,22,29.93,6,1.00,11,4.17,11,.467,2,6.12
BAL,189,1,.085,2,.074,7,.460,4,.291,19,29.04,8,1.14,1,2.70,2,.296,3,6.02
BUF,193,11,.161,24,.150,4,.477,2,.306,31,35.03,7,1.07,16,4.57,14,.481,18,0.73
TB,199,7,.136,9,.111,17,.432,12,.251,10,26.97,10,1.23,10,4.07,6,.409,6,5.10
NYJ,195,8,.138,22,.149,14,.451,5,.287,18,28.46,4,0.93,13,4.26,7,.420,20,0.05
PIT,185,5,.119,27,.157,12,.454,17,.243,29,32.13,3,0.76,3,3.45,3,.310,11,2.31
DET,196,9,.153,16,.133,18,.423,11,.255,3,25.95,9,1.15,22,4.83,23,.556,22,-0.19
NYG,188,10,.160,1,.069,10,.457,7,.277,28,32.10,31,2.31,7,3.98,15,.489,14,2.13
MIA,189,4,.116,13,.116,11,.455,13,.249,5,26.24,5,1.00,9,4.00,8,.447,5,5.18
JAX,187,18,.198,3,.091,5,.476,3,.294,15,27.73,29,2.18,31,5.43,30,.650,10,3.09
PHI,189,3,.111,21,.148,8,.460,14,.249,16,28.08,2,0.75,6,3.90,5,.350,7,4.40
SD,201,24,.219,23,.149,15,.448,18,.229,25,30.39,16,1.47,24,4.89,21,.545,25,-2.03
GB,188,15,.186,11,.112,2,.500,9,.266,17,28.20,20,1.67,18,4.62,20,.533,15,1.89
WAS,174,6,.121,31,.172,13,.454,23,.207,24,30.35,1,0.70,4,3.45,1,.295,17,1.15
CHI,187,23,.214,5,.096,3,.487,6,.283,21,29.37,30,2.22,27,5.09,29,.630,27,-2.73
OAK,189,12,.175,6,.101,21,.402,20,.217,6,26.35,23,1.74,30,5.24,31,.652,1,6.53
KC,189,20,.201,10,.111,20,.407,24,.201,23,30.34,26,1.81,25,4.90,27,.620,24,-0.82
NO,171,14,.181,8,.105,16,.433,16,.246,8,26.74,22,1.72,5,3.88,9,.449,16,1.51
CIN,189,19,.201,17,.138,19,.423,8,.275,26,30.66,15,1.46,12,4.18,10,.459,29,-5.60
DAL,181,21,.204,19,.144,24,.387,28,.177,11,27.01,13,1.42,20,4.74,18,.528,23,-0.72
NE,184,16,.190,15,.130,6,.473,10,.255,12,27.17,14,1.46,19,4.64,19,.528,21,-0.15
DEN,187,22,.209,7,.102,25,.385,19,.225,2,25.47,28,2.05,8,3.98,12,.469,4,5.53
STL,182,30,.275,18,.143,27,.368,29,.176,20,29.20,27,1.92,28,5.14,25,.586,9,3.90
IND,177,17,.198,14,.119,9,.458,15,.249,7,26.46,21,1.67,21,4.75,22,.549,8,4.23
ATL,178,25,.219,29,.163,23,.388,21,.213,1,23.15,11,1.34,14,4.42,13,.473,28,-5.07
CAR,175,13,.177,12,.114,31,.331,25,.183,4,26.06,18,1.55,2,3.25,4,.344,12,2.24
CLE,183,27,.240,30,.169,26,.372,22,.208,30,33.83,12,1.42,26,5.02,24,.576,30,-6.39
ARI,172,31,.279,28,.157,30,.343,30,.174,27,31.27,24,1.78,23,4.88,26,.591,31,-8.37
SF,177,29,.266,20,.147,28,.367,26,.181,9,26.95,25,1.81,29,5.16,28,.625,19,0.69
SEA,179,26,.240,26,.156,29,.346,27,.179,13,27.28,17,1.54,17,4.60,17,.517,26,-2.52
MIN,165,28,.242,25,.152,22,.394,31,.164,14,27.48,19,1.60,15,4.53,16,.516,13,2.18
NFL,0,0,.183,0,.128,0,.429,0,.238,0,28.41,0,1.43,0,4.46,0,.502,0,-1.01

