Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
BUF,209,1,25.78,11,1.72,10,.144,5,.110,25,.033,31,31.07,4,5.34,6,2.25,4,.643
ARI,199,2,26.01,6,1.58,12,.141,8,.101,20,.040,19,28.25,6,5.37,2,2.20,9,.652
SEA,179,3,26.14,1,1.21,1,.201,1,.156,19,.045,6,25.85,12,5.64,25,2.43,3,.639
CIN,195,4,26.32,3,1.41,6,.154,7,.103,12,.051,23,29.41,10,5.48,3,2.21,1,.628
BAL,199,5,26.58,7,1.59,26,.106,18,.080,30,.025,21,28.59,3,5.34,8,2.27,2,.630
SF,186,6,26.69,4,1.45,16,.134,11,.097,23,.038,5,25.27,11,5.58,11,2.30,6,.645
NYG,192,7,27.31,10,1.66,14,.135,13,.089,16,.047,30,30.88,16,5.76,14,2.34,13,.673
CAR,172,8,27.58,2,1.38,2,.169,2,.116,11,.052,4,24.83,21,5.81,16,2.35,8,.648
NO,177,9,27.68,8,1.64,25,.107,25,.068,21,.040,8,26.33,8,5.45,7,2.27,10,.652
CLE,193,10,28.11,20,1.95,27,.104,21,.073,27,.031,29,30.74,20,5.81,13,2.33,16,.685
HOU,187,11,28.37,22,1.98,32,.059,32,.037,31,.021,20,28.32,2,5.30,10,2.29,11,.657
KC,201,12,28.65,5,1.51,3,.159,6,.104,9,.055,1,23.13,7,5.43,4,2.21,5,.645
PIT,183,13,28.84,21,1.95,24,.109,30,.055,10,.055,25,30.07,17,5.77,12,2.31,14,.678
NYJ,187,14,29.06,17,1.84,31,.080,23,.070,32,.011,26,30.20,18,5.78,15,2.35,12,.658
DEN,200,15,29.13,19,1.89,18,.130,15,.085,18,.045,14,27.40,9,5.47,5,2.24,17,.685
DET,193,16,29.53,15,1.80,23,.114,20,.078,24,.036,15,27.64,1,5.25,1,2.18,7,.646
TEN,185,17,29.85,18,1.88,15,.135,22,.070,2,.065,18,28.19,13,5.71,17,2.35,19,.688
WAS,186,18,30.26,28,2.30,17,.134,14,.086,14,.048,32,31.72,5,5.36,9,2.28,24,.711
NE,191,19,31.08,9,1.66,13,.136,12,.089,15,.047,3,24.21,25,5.97,18,2.35,18,.686
MIA,182,20,31.20,13,1.75,19,.126,10,.099,29,.027,11,26.77,32,6.19,27,2.44,15,.684
TB,182,21,31.63,24,2.05,7,.154,3,.115,22,.038,28,30.45,14,5.72,20,2.40,21,.695
IND,179,22,31.87,12,1.75,9,.145,16,.084,4,.061,7,25.97,23,5.87,22,2.41,20,.689
OAK,182,23,31.95,27,2.26,28,.099,31,.049,13,.049,27,30.35,15,5.75,19,2.37,25,.711
STL,178,24,32.02,16,1.84,8,.152,19,.079,1,.073,9,26.44,19,5.79,28,2.45,23,.708
