Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
PHI,190,25,32.51,14,1.80,4,.158,9,.100,8,.058,12,26.82,31,6.17,31,2.48,22,.706
JAX,189,26,32.65,26,2.23,22,.116,29,.058,7,.058,16,27.67,22,5.84,26,2.43,26,.716
MIN,190,27,33.53,29,2.31,30,.095,26,.063,26,.032,24,29.50,27,6.06,29,2.46,30,.726
GB,176,28,33.99,25,2.22,20,.125,27,.063,3,.063,22,28.99,24,5.90,24,2.42,27,.717
ATL,169,29,35.85,32,2.46,21,.118,28,.059,6,.059,17,27.72,30,6.09,32,2.48,29,.724
SD,162,30,36.00,23,2.02,29,.099,24,.068,28,.031,2,23.65,29,6.07,23,2.42,28,.723
DAL,184,31,36.48,30,2.31,11,.141,17,.082,5,.060,13,26.91,28,6.07,21,2.40,32,.743
CHI,172,32,37.27,31,2.44,5,.157,4,.110,17,.047,10,26.74,26,6.05,30,2.46,31,.740
NFL,0,0,30.21,0,1.86,0,.129,0,.084,0,.045,0,27.85,0,5.72,0,2.35,0,.683

Team,Drives,TDs/Dr Rank,TDs/Dr,FG/Dr Rank,FG/Dr,Punts/Dr Rank,Punts/Dr,3Outs/Dr Rank,3Outs/Dr,LOS/KO Rank,LOS/KO,TD/FG Rank,TD/FG,Pts/RZ Rank,Pts/RZ,TDs/RZ Rank,TDs/RZ,Avg. Lead Rank,Avg. Lead
BUF,209,12,.182,20,.148,8,.450,13,.249,25,23.17,10,1.23,6,4.43,6,.471,17,0.28
ARI,199,8,.171,7,.126,10,.442,8,.266,14,22.15,15,1.36,14,4.71,13,.542,14,1.26
SEA,179,1,.112,19,.145,7,.453,15,.246,3,20.61,2,0.77,1,3.67,1,.361,3,6.31
CIN,195,3,.144,9,.133,5,.456,2,.287,28,23.39,7,1.08,8,4.53,8,.500,6,4.55
BAL,199,4,.161,24,.161,1,.492,5,.271,22,23.06,5,1.00,13,4.66,7,.488,22,-0.25
SF,186,5,.161,2,.108,4,.457,3,.274,7,20.97,18,1.50,11,4.63,12,.537,2,7.19
NYG,192,9,.172,21,.151,9,.448,17,.240,13,22.07,9,1.14,16,4.80,15,.543,28,-1.83
CAR,172,2,.122,28,.174,19,.419,7,.267,4,20.62,1,0.70,3,4.17,3,.415,5,4.66
NO,177,10,.175,10,.136,3,.469,1,.294,8,21.19,12,1.29,24,5.13,19,.578,8,3.78
CLE,193,20,.218,15,.140,6,.456,9,.259,26,23.22,21,1.56,30,5.34,28,.640,25,-0.55
HOU,187,19,.214,23,.160,2,.487,4,.273,16,22.48,14,1.33,32,5.60,32,.681,30,-3.26
KC,201,6,.169,3,.109,13,.433,14,.249,12,21.61,20,1.55,12,4.65,11,.514,4,6.27
PIT,183,18,.213,22,.153,14,.432,16,.240,32,24.80,17,1.39,18,4.98,17,.564,13,1.28
NYJ,187,13,.187,29,.176,16,.428,25,.209,17,22.49,6,1.06,5,4.40,4,.458,29,-2.91
DEN,200,23,.220,5,.115,12,.435,21,.220,9,21.23,27,1.91,22,5.12,25,.617,1,7.53
DET,193,11,.176,31,.192,11,.435,6,.269,23,23.16,4,0.92,2,3.83,2,.381,12,1.96
TEN,185,15,.195,27,.173,21,.411,20,.222,30,24.01,8,1.13,31,5.36,29,.640,20,0.04
WAS,186,32,.280,4,.113,25,.398,27,.204,24,23.17,32,2.48,27,5.17,30,.644,31,-4.72
NE,191,14,.188,6,.115,18,.419,24,.209,5,20.62,23,1.64,15,4.76,16,.560,9,3.65
MIA,182,7,.170,30,.187,15,.429,11,.253,11,21.32,3,0.91,7,4.48,5,.464,21,0.00
TB,182,22,.220,26,.170,30,.363,29,.192,1,20.11,11,1.29,9,4.55,9,.500,18,0.24
IND,179,17,.196,8,.128,17,.419,18,.235,18,22.56,19,1.52,17,4.83,20,.585,15,0.97
OAK,182,27,.264,13,.137,22,.407,12,.253,19,22.60,29,1.92,19,5.00,22,.597,27,-1.77
STL,178,21,.219,1,.101,20,.416,10,.258,6,20.83,31,2.17,4,4.30,10,.508,23,-0.30
PHI,190,16,.195,18,.142,28,.389,30,.189,27,23.26,16,1.37,10,4.56,14,.542,7,4.15
JAX,189,25,.259,14,.138,26,.397,22,.217,2,20.47,25,1.88,21,5.08,23,.600,32,-4.85
MIN,190,29,.268,17,.142,23,.405,19,.232,29,24.01,26,1.89,28,5.29,26,.619,26,-1.25
GB,176,26,.261,12,.136,27,.392,23,.210,31,24.73,28,1.92,20,5.04,24,.614,16,0.91
ATL,169,28,.266,32,.201,29,.367,26,.207,15,22.33,13,1.32,26,5.14,21,.596,19,0.20
SD,162,24,.228,16,.142,24,.401,28,.204,20,22.88,22,1.61,25,5.13,27,.622,11,2.17
DAL,184,30,.272,11,.136,32,.332,32,.163,10,21.29,30,2.00,29,5.34,31,.645,10,3.09
CHI,172,31,.279,25,.163,31,.337,31,.169,21,23.06,24,1.71,23,5.12,18,.576,24,-0.42
NFL,0,0,.204,0,.145,0,.422,0,.236,0,22.29,0,1.41,0,4.84,0,.557,0,-1.21

