Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
NYJ,183,1,21.42,1,1.02,11,.148,13,.093,15,.055,10,28.30,3,5.29,6,2.28,1,.591
SF,202,2,24.79,2,1.32,8,.158,17,.089,3,.069,17,29.40,4,5.33,3,2.22,2,.612
GB,184,3,24.91,8,1.51,1,.212,1,.163,19,.049,24,30.95,2,5.23,1,2.20,6,.645
CIN,183,4,25.73,9,1.51,20,.137,10,.104,28,.033,26,31.14,7,5.49,5,2.28,5,.643
MIN,186,5,26.00,6,1.49,25,.118,28,.059,10,.059,7,27.84,1,5.18,2,2.21,3,.636
PHI,193,6,26.39,16,1.71,4,.181,4,.130,16,.052,30,31.76,6,5.46,14,2.36,9,.656
BAL,181,7,27.63,4,1.36,5,.171,6,.122,18,.050,3,26.78,14,5.60,23,2.43,4,.642
PIT,173,8,27.76,10,1.56,22,.127,24,.069,11,.058,9,28.26,22,5.72,13,2.36,8,.656
CAR,177,9,28.08,5,1.46,2,.198,5,.124,1,.073,29,31.49,15,5.63,18,2.40,13,.662
DEN,179,10,28.11,13,1.61,7,.162,12,.095,4,.067,6,27.51,23,5.75,17,2.40,11,.659
DAL,175,11,28.44,3,1.35,23,.120,27,.063,12,.057,1,25.60,21,5.70,11,2.33,10,.657
ARI,193,12,28.52,11,1.56,16,.140,7,.109,31,.031,13,28.59,8,5.50,8,2.29,7,.647
BUF,187,13,28.55,12,1.58,6,.171,2,.150,32,.021,19,29.65,26,5.90,25,2.45,14,.668
WAS,173,14,28.75,17,1.72,30,.098,26,.064,26,.035,25,31.09,27,5.96,29,2.53,12,.660
HOU,180,15,29.09,18,1.73,21,.133,20,.078,13,.056,4,26.83,11,5.52,9,2.29,19,.676
CHI,186,16,29.09,25,2.02,17,.140,23,.070,2,.070,28,31.46,18,5.68,19,2.42,22,.686
NE,172,17,29.60,7,1.50,14,.145,9,.105,24,.041,2,26.62,13,5.54,10,2.30,16,.672
NYG,177,18,29.64,31,2.33,24,.119,22,.073,21,.045,27,31.42,5,5.45,12,2.33,29,.711
SEA,190,19,29.67,23,1.98,27,.111,25,.068,23,.042,18,29.56,10,5.52,21,2.43,20,.676
IND,174,20,30.48,14,1.68,15,.144,15,.092,17,.052,14,28.79,32,6.41,32,2.57,23,.688
KC,197,21,30.55,22,1.96,19,.137,21,.076,8,.061,23,30.58,12,5.54,16,2.38,17,.674
NO,187,22,31.01,15,1.70,3,.187,3,.139,20,.048,12,28.55,20,5.70,7,2.29,15,.670
TEN,186,23,31.18,28,2.12,18,.140,8,.108,30,.032,31,31.95,19,5.69,22,2.43,26,.699
SD,162,24,31.25,20,1.89,10,.148,18,.086,7,.062,15,28.96,31,6.25,31,2.56,28,.705
TB,183,25,31.32,27,2.10,12,.148,11,.104,22,.044,22,30.55,24,5.79,24,2.44,27,.700
MIA,182,26,31.34,26,2.03,26,.115,19,.082,27,.033,20,30.28,9,5.51,4,2.28,18,.675
OAK,185,27,31.75,24,2.00,32,.081,32,.043,25,.038,21,30.38,17,5.68,20,2.42,21,.684
ATL,168,28,32.19,19,1.81,9,.155,16,.089,5,.065,8,28.05,29,6.08,28,2.52,24,.695
DET,186,29,33.41,32,2.49,29,.108,30,.048,9,.059,32,35.00,16,5.64,15,2.38,31,.714
CLE,183,30,33.43,21,1.90,31,.087,29,.055,29,.033,11,28.43,28,6.03,26,2.47,25,.697
JAX,163,31,34.50,29,2.15,13,.147,14,.092,14,.055,16,29.29,30,6.14,30,2.55,30,.714
STL,175,32,34.58,30,2.16,28,.109,31,.046,6,.063,5,27.48,25,5.86,27,2.49,32,.721
NFL,0,0,29.30,0,1.76,0,.141,0,.090,0,.050,0,29.48,0,5.67,0,2.38,0,.672

Team,Drives,TDs/Dr Rank,TDs/Dr,FG/Dr Rank,FG/Dr,Punts/Dr Rank,Punts/Dr,3Outs/Dr Rank,3Outs/Dr,LOS/KO Rank,LOS/KO,TD/FG Rank,TD/FG,Pts/RZ Rank,Pts/RZ,TDs/RZ Rank,TDs/RZ,Avg. Lead Rank,Avg. Lead
NYJ,183,1,.104,6,.104,1,.536,1,.344,7,24.29,5,1.00,3,4.22,5,.438,9,4.19
SF,202,2,.129,21,.144,5,.470,3,.297,4,23.51,1,0.90,2,3.96,3,.404,17,1.70
GB,184,16,.185,1,.071,22,.402,17,.228,32,29.15,31,2.62,21,4.72,28,.609,2,7.41
CIN,183,7,.164,16,.126,7,.454,14,.240,28,28.03,10,1.30,16,4.50,10,.475,15,2.16
MIN,186,9,.167,13,.118,4,.478,2,.323,23,27.42,14,1.41,13,4.35,7,.450,3,6.88
PHI,193,17,.197,9,.109,18,.415,9,.249,26,27.87,25,1.81,22,4.76,26,.569,5,6.05
BAL,181,3,.138,18,.133,8,.436,19,.227,13,25.64,6,1.04,6,4.26,4,.419,11,3.90
PIT,173,10,.168,17,.127,3,.497,7,.254,29,28.04,11,1.32,8,4.26,8,.452,10,3.97
CAR,177,6,.164,7,.107,15,.418,31,.203,18,26.16,18,1.53,12,4.30,14,.500,16,1.90
DEN,179,5,.162,26,.162,12,.425,8,.251,2,22.35,4,1.00,15,4.42,15,.500,20,0.54
DAL,175,4,.149,5,.103,2,.526,12,.246,3,22.60,15,1.44,27,4.97,23,.563,7,4.79
ARI,193,14,.181,3,.098,9,.435,26,.218,15,25.84,26,1.84,4,4.23,9,.468,13,3.45
BUF,187,12,.176,12,.118,16,.417,15,.235,17,26.12,17,1.50,24,4.84,20,.540,21,-0.15
WAS,173,11,.168,31,.179,21,.405,30,.208,21,27.21,2,0.94,10,4.29,1,.390,25,-2.25
HOU,180,18,.200,10,.111,13,.422,4,.283,14,25.74,24,1.80,30,5.19,30,.649,12,3.53
CHI,186,25,.231,19,.134,26,.382,20,.226,25,27.84,22,1.72,31,5.43,31,.685,24,-1.77
NE,172,13,.180,2,.081,6,.459,6,.256,16,26.05,29,2.21,17,4.50,21,.550,1,7.89
NYG,177,32,.294,4,.102,20,.407,10,.249,30,28.26,32,2.89,32,5.54,32,.689,18,0.85
SEA,190,26,.232,11,.116,10,.432,5,.279,6,24.23,27,2.00,19,4.62,24,.564,27,-3.92
IND,174,8,.167,30,.172,29,.374,32,.201,5,24.13,3,0.97,11,4.29,13,.490,6,5.04
KC,197,24,.218,23,.147,23,.396,13,.244,20,27.10,16,1.48,26,4.87,25,.566,28,-4.13
NO,187,15,.182,22,.144,28,.380,25,.219,12,25.50,9,1.26,1,3.80,2,.393,8,4.68
TEN,186,29,.253,14,.118,19,.409,29,.210,22,27.36,28,2.14,29,5.05,27,.589,23,-1.49
SD,162,20,.204,25,.154,24,.383,11,.247,19,26.78,12,1.32,23,4.78,18,.527,4,6.60
TB,183,27,.240,20,.142,25,.383,28,.213,10,25.33,20,1.69,18,4.51,17,.510,29,-5.46
MIA,182,22,.214,32,.181,30,.368,27,.214,31,28.30,7,1.18,14,4.38,12,.480,19,0.76
OAK,185,23,.216,27,.162,17,.416,18,.227,24,27.54,13,1.33,7,4.26,11,.477,30,-5.64
ATL,168,21,.208,15,.119,31,.363,24,.220,1,21.89,23,1.75,5,4.25,16,.510,14,2.28
DET,186,31,.285,29,.167,32,.355,23,.220,27,27.92,21,1.71,20,4.64,19,.529,31,-5.98
CLE,183,19,.202,28,.164,14,.421,21,.224,11,25.42,8,1.23,9,4.26,6,.439,26,-2.56
JAX,163,28,.245,24,.147,27,.380,22,.221,8,24.76,19,1.67,25,4.87,22,.558,22,-1.03
STL,175,30,.263,8,.109,11,.429,16,.234,9,24.83,30,2.42,28,5.02,29,.610,32,-6.62
NFL,0,0,.196,0,.130,0,.421,0,.241,0,26.10,0,1.51,0,4.58,0,.522,0,-1.14

