Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
BAL,184,1,24.63,2,1.29,12,.141,19,.082,6,.060,20,28.96,14,5.58,11,2.32,3,.624
NYJ,201,2,24.78,7,1.55,10,.144,13,.095,11,.050,21,29.35,1,5.03,1,2.17,2,.617
HOU,185,3,24.97,4,1.46,13,.141,14,.092,14,.049,13,27.48,6,5.36,3,2.21,4,.629
CIN,195,4,25.48,9,1.58,23,.113,27,.051,5,.062,6,25.96,4,5.29,7,2.25,7,.640
PIT,166,5,25.66,3,1.33,30,.090,23,.066,31,.024,14,27.60,25,5.94,18,2.37,8,.647
JAX,188,6,26.12,13,1.65,15,.138,15,.090,15,.048,25,29.74,5,5.30,10,2.31,6,.637
SF,190,7,26.41,1,1.19,2,.189,3,.121,1,.068,1,23.99,3,5.23,2,2.20,1,.615
CHI,201,8,27.03,6,1.55,9,.144,11,.100,21,.045,27,30.63,7,5.38,5,2.22,5,.633
PHI,191,9,27.46,12,1.64,21,.126,21,.079,17,.047,18,28.53,2,5.23,6,2.23,9,.654
SEA,189,10,27.94,5,1.48,7,.153,4,.116,24,.037,10,26.57,17,5.70,21,2.42,10,.658
MIA,192,11,28.37,8,1.57,31,.089,18,.083,32,.005,15,27.84,13,5.58,8,2.28,11,.660
ARI,200,12,28.63,11,1.64,26,.095,29,.050,19,.045,30,30.80,16,5.68,16,2.34,14,.665
KC,182,13,28.82,18,1.81,11,.143,5,.110,27,.033,32,31.30,10,5.54,22,2.43,15,.667
DEN,198,14,29.03,16,1.75,32,.081,30,.045,25,.035,16,28.05,9,5.53,15,2.34,12,.660
WAS,180,15,29.45,25,2.00,24,.111,22,.072,23,.039,28,30.66,15,5.64,20,2.38,17,.674
ATL,178,16,29.58,17,1.75,8,.152,7,.107,20,.045,11,26.73,12,5.57,9,2.31,16,.671
DET,201,17,30.10,15,1.71,4,.164,10,.104,7,.060,12,26.99,8,5.40,4,2.22,13,.663
STL,185,18,30.49,22,1.94,28,.092,24,.065,29,.027,24,29.68,18,5.71,24,2.43,19,.680
MIN,181,19,31.17,30,2.24,25,.110,32,.044,2,.066,26,30.06,22,5.83,25,2.45,24,.708
CLE,171,20,31.20,14,1.67,22,.117,26,.053,4,.064,23,29.46,32,6.23,31,2.53,18,.678
TEN,181,21,31.25,10,1.64,20,.127,25,.061,3,.066,7,26.15,30,6.08,27,2.49,20,.684
NYG,189,22,31.78,24,1.99,6,.153,8,.106,16,.048,19,28.56,21,5.79,13,2.34,23,.698
DAL,172,23,31.98,20,1.84,14,.140,16,.087,9,.052,3,25.62,20,5.78,23,2.43,21,.688
IND,179,24,32.47,29,2.21,27,.095,31,.045,10,.050,31,30.91,29,6.07,32,2.59,27,.718
NO,177,25,32.71,19,1.84,29,.090,28,.051,22,.040,5,25.79,23,5.86,12,2.33,22,.697
BUF,184,26,32.73,28,2.21,5,.158,6,.109,12,.049,22,29.43,11,5.55,14,2.34,26,.716
SD,162,27,34.20,26,2.07,19,.130,9,.105,30,.025,9,26.36,27,6.02,29,2.51,25,.713
OAK,185,28,34.97,27,2.08,18,.130,12,.097,28,.032,8,26.19,24,5.91,17,2.35,29,.726
GB,178,29,35.64,23,1.96,1,.208,1,.174,26,.034,4,25.70,26,6.02,19,2.38,28,.722
TB,176,30,36.35,32,2.61,16,.136,20,.080,8,.057,29,30.69,19,5.78,26,2.46,32,.748
CAR,164,31,36.87,31,2.45,17,.134,17,.085,13,.049,17,28.18,28,6.05,30,2.52,31,.736
NE,175,32,37.49,21,1.89,3,.177,2,.131,18,.046,2,24.06,31,6.18,28,2.50,30,.731
NFL,0,0,30.07,0,1.79,0,.132,0,.086,0,.046,0,28.08,0,5.67,0,2.36,0,.678

Team,Drives,TDs/Dr Rank,TDs/Dr,FG/Dr Rank,FG/Dr,Punts/Dr Rank,Punts/Dr,3Outs/Dr Rank,3Outs/Dr,LOS/KO Rank,LOS/KO,TD/FG Rank,TD/FG,Pts/RZ Rank,Pts/RZ,TDs/RZ Rank,TDs/RZ,Avg. Lead Rank,Avg. Lead
BAL,184,1,.120,21,.152,5,.467,10,.261,30,23.80,1,0.79,1,3.83,1,.390,6,5.55
