Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
SEA,204,1,24.24,1,1.37,12,.162,10,.098,11,.064,18,30.99,2,5.18,1,2.22,1,.616
TB,174,2,24.37,3,1.41,3,.195,12,.098,1,.098,1,26.94,15,5.65,22,2.41,6,.640
PIT,169,3,24.75,6,1.47,19,.136,30,.065,9,.071,13,29.68,11,5.60,7,2.31,5,.638
NYG,188,4,25.38,15,1.67,25,.128,23,.080,20,.048,19,31.36,5,5.35,3,2.25,10,.655
TEN,178,5,25.95,10,1.55,11,.163,3,.124,25,.039,3,28.57,9,5.59,9,2.32,7,.647
WAS,187,6,26.13,8,1.53,23,.128,27,.075,16,.053,21,31.48,14,5.64,6,2.30,9,.650
BAL,187,7,26.16,23,1.93,29,.112,18,.091,32,.021,32,35.12,4,5.33,5,2.30,2,.631
NE,173,8,26.43,4,1.42,7,.168,5,.110,14,.058,2,26.95,7,5.45,8,2.31,12,.660
KC,187,9,26.72,13,1.59,30,.112,26,.075,27,.037,17,30.76,6,5.39,11,2.33,3,.636
CHI,210,10,26.79,11,1.56,13,.152,24,.076,6,.076,9,29.33,1,5.06,2,2.24,4,.637
SD,183,11,27.56,2,1.40,1,.230,1,.164,10,.066,8,29.31,13,5.63,17,2.38,13,.661
MIN,189,12,27.66,7,1.51,10,.164,19,.090,8,.074,12,29.37,19,5.77,13,2.36,11,.656
DAL,178,13,27.85,14,1.63,14,.152,8,.107,24,.045,14,29.69,20,5.81,16,2.37,19,.674
CAR,186,14,27.99,18,1.75,16,.151,25,.075,7,.075,30,33.16,17,5.69,20,2.40,15,.667
PHI,177,15,28.01,9,1.54,32,.107,32,.062,23,.045,26,32.01,16,5.67,14,2.36,8,.649
IND,158,16,28.10,5,1.44,2,.222,2,.139,5,.082,6,28.82,30,6.29,31,3.02,22,.686
ARI,186,17,28.12,22,1.92,15,.151,14,.097,15,.054,23,31.94,10,5.59,12,2.35,17,.670
OAK,185,18,28.76,24,1.95,22,.130,13,.097,30,.032,22,31.89,3,5.29,4,2.29,18,.670
GB,177,19,28.99,12,1.56,21,.136,7,.107,31,.028,5,28.69,18,5.74,19,2.40,16,.667
JAX,168,20,29.04,16,1.67,8,.167,4,.119,22,.048,15,29.89,24,5.89,18,2.38,20,.678
SF,188,21,29.38,17,1.71,31,.112,31,.064,21,.048,10,29.34,21,5.84,26,2.48,14,.665
STL,184,22,29.67,30,2.15,20,.136,11,.098,26,.038,29,33.03,8,5.58,10,2.33,23,.689
NO,176,23,30.49,26,2.03,26,.125,28,.074,17,.051,20,31.41,12,5.61,15,2.36,21,.679
CLE,186,24,30.51,19,1.90,17,.140,17,.091,19,.048,28,32.12,25,5.91,21,2.40,25,.692
DEN,170,25,31.10,28,2.09,6,.171,22,.082,3,.088,16,30.01,26,5.95,28,2.53,27,.700
ATL,182,26,31.16,25,1.97,18,.137,20,.088,18,.049,4,28.62,22,5.85,23,2.45,24,.691
NYJ,164,27,31.38,21,1.91,24,.128,16,.091,28,.037,7,29.07,32,6.35,32,3.06,29,.705
CIN,175,28,31.39,27,2.04,4,.194,6,.109,4,.086,27,32.02,23,5.88,24,2.46,26,.699
HOU,169,29,32.03,29,2.15,27,.124,29,.065,12,.059,24,31.95,29,6.03,27,2.50,30,.716
DET,185,30,32.18,31,2.20,5,.189,15,.092,2,.097,25,31.99,27,5.95,25,2.47,32,.730
MIA,169,31,32.28,32,2.41,28,.118,21,.083,29,.036,31,34.57,28,5.96,30,2.56,31,.721
BUF,170,32,33.92,20,1.91,9,.165,9,.106,13,.059,11,29.36,31,6.32,29,2.55,28,.705
NFL,0,0,28.52,0,1.76,0,.150,0,.093,0,.057,0,30.63,0,5.70,0,2.39,0,.672

Team,Drives,TDs/Dr Rank,TDs/Dr,FG/Dr Rank,FG/Dr,Punts/Dr Rank,Punts/Dr,3Outs/Dr Rank,3Outs/Dr,LOS/KO Rank,LOS/KO,TD/FG Rank,TD/FG,Pts/RZ Rank,Pts/RZ,TDs/RZ Rank,TDs/RZ,Avg. Lead Rank,Avg. Lead
SEA,204,3,.152,9,.108,5,.456,6,.255,28,29.73,16,1.41,12,4.56,13,.512,6,4.76
TB,174,9,.167,3,.086,2,.477,9,.247,4,25.57,29,1.93,23,4.91,29,.600,7,4.71
PIT,169,8,.166,7,.107,1,.485,3,.272,24,29.28,21,1.56,24,4.95,22,.553,8,4.56
NYG,188,18,.191,10,.112,4,.463,4,.271,25,29.30,25,1.71,26,4.98,28,.595,17,0.86
TEN,178,15,.180,6,.101,6,.455,2,.275,5,25.74,28,1.78,25,4.98,30,.600,19,0.44
WAS,187,5,.160,16,.144,12,.433,12,.246,23,28.96,7,1.11,15,4.65,9,.490,10,3.27
BAL,187,19,.193,32,.198,18,.406,10,.246,31,30.78,3,0.97,7,4.37,3,.423,28,-3.09
NE,173,12,.173,1,.069,10,.434,8,.249,6,25.84,31,2.50,11,4.54,27,.585,1,12.08
KC,187,2,.150,30,.182,8,.444,11,.246,8,26.09,1,0.82,3,4.28,2,.372,27,-2.89
CHI,210,11,.171,11,.119,11,.433,1,.295,16,27.34,18,1.44,4,4.33,15,.519,15,1.50
SD,183,10,.169,2,.071,23,.377,19,.219,17,27.36,30,2.38,8,4.38,19,.541,3,6.42
MIN,189,4,.153,19,.148,9,.434,14,.238,15,27.14,4,1.04,6,4.34,5,.468,11,2.43
DAL,178,13,.174,14,.140,14,.410,20,.208,22,28.45,11,1.24,10,4.50,11,.500,9,3.77
CAR,186,16,.188,17,.145,15,.409,17,.226,29,30.08,13,1.30,20,4.83,16,.522,26,-2.37
PHI,177,1,.147,28,.175,13,.429,13,.243,26,29.39,2,0.84,1,3.82,1,.364,12,2.38
IND,158,7,.165,5,.095,29,.348,28,.190,9,26.37,26,1.73,14,4.61,21,.543,2,7.33
ARI,186,23,.210,20,.151,20,.392,5,.258,11,26.53,14,1.39,18,4.70,12,.509,18,0.80
OAK,185,25,.222,12,.135,21,.384,24,.205,3,25.28,23,1.64,16,4.67,14,.519,29,-3.65
GB,177,6,.164,13,.136,7,.452,16,.232,13,26.93,9,1.21,9,4.44,8,.488,4,5.84
JAX,168,17,.190,8,.107,19,.393,27,.190,1,24.18,27,1.78,19,4.73,23,.556,5,5.83
