Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
SF,188,14,.176,24,.165,3,.468,21,.207,7,25.90,5,1.06,17,4.67,6,.481,31,-5.90
STL,184,27,.228,31,.185,27,.359,7,.250,27,29.61,10,1.24,29,5.05,26,.579,24,-1.08
NO,176,26,.227,18,.148,22,.381,26,.199,12,26.89,20,1.54,22,4.87,18,.532,14,1.56
CLE,186,21,.199,27,.172,24,.371,18,.220,20,28.25,8,1.16,13,4.59,10,.500,16,1.04
DEN,170,29,.229,23,.159,30,.347,23,.206,10,26.39,19,1.44,27,4.98,24,.574,21,0.02
ATL,182,24,.214,21,.154,17,.407,15,.236,2,24.88,15,1.39,28,5.02,17,.532,30,-3.96
NYJ,164,20,.195,29,.177,16,.409,32,.152,21,28.42,6,1.10,31,5.20,25,.575,23,-0.72
CIN,175,28,.229,15,.143,31,.326,30,.177,30,30.18,22,1.60,5,4.34,7,.482,13,1.68
HOU,169,30,.237,25,.166,28,.349,29,.183,18,27.39,17,1.43,21,4.85,20,.541,20,0.21
DET,185,32,.276,4,.092,32,.319,25,.200,19,28.08,32,3.00,30,5.09,31,.641,25,-2.06
MIA,169,31,.272,26,.166,25,.367,22,.207,32,32.08,24,1.64,32,5.58,32,.654,32,-6.34
BUF,170,22,.206,22,.159,26,.359,31,.153,14,27.14,12,1.30,2,4.11,4,.446,22,-0.34
NFL,0,0,.192,0,.138,0,.406,0,.226,0,27.65,0,1.39,0,4.68,0,.524,0,-1.18

