Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
DEN,186,1,25.03,5,1.47,16,.124,13,.086,22,.038,7,25.75,4,5.55,4,2.27,4,.648
PIT,174,2,25.99,8,1.61,25,.109,27,.057,17,.052,28,29.87,8,5.60,8,2.32,5,.652
ARI,205,3,26.20,4,1.46,9,.146,6,.107,21,.039,18,27.66,1,5.20,3,2.25,1,.625
HOU,196,4,26.72,7,1.57,8,.148,17,.077,3,.071,22,27.98,2,5.27,1,2.15,3,.645
CHI,192,5,26.77,1,1.31,2,.208,1,.125,2,.083,8,25.95,3,5.43,2,2.22,2,.633
CIN,186,6,27.53,6,1.53,10,.145,18,.075,4,.070,5,25.46,11,5.69,6,2.31,8,.662
SF,173,7,27.60,3,1.43,13,.133,14,.081,16,.052,2,24.90,21,5.94,21,2.44,6,.659
NYJ,187,8,28.07,13,1.73,21,.118,26,.059,10,.059,23,28.39,5,5.56,11,2.35,7,.661
BAL,190,9,29.42,11,1.69,19,.121,20,.068,15,.053,13,27.02,18,5.90,19,2.43,9,.671
SD,176,10,29.62,16,1.83,11,.142,16,.080,7,.063,10,26.13,17,5.82,13,2.38,19,.696
CLE,194,11,29.73,15,1.79,7,.149,12,.088,8,.062,14,27.14,12,5.72,15,2.38,16,.693
SEA,164,12,29.86,2,1.40,6,.165,5,.110,12,.055,1,24.20,26,6.01,25,2.46,13,.677
GB,184,13,29.93,14,1.79,20,.120,9,.098,30,.022,9,25.96,13,5.76,10,2.33,11,.675
PHI,176,14,30.50,28,2.20,31,.068,30,.045,29,.023,32,31.86,14,5.78,22,2.45,25,.706
DET,185,15,30.58,22,1.98,28,.086,25,.059,27,.027,26,29.59,6,5.57,7,2.31,12,.676
STL,176,16,31.05,17,1.86,23,.114,10,.097,32,.017,27,29.59,27,6.05,30,2.52,21,.697
MIN,181,17,31.40,18,1.88,18,.122,29,.055,5,.066,15,27.26,28,6.11,24,2.46,26,.707
OAK,180,18,31.61,32,2.31,26,.094,24,.061,23,.033,31,30.87,10,5.67,17,2.40,18,.694
MIA,178,19,31.68,9,1.62,29,.084,28,.056,25,.028,19,27.70,32,6.20,29,2.50,14,.681
CAR,170,20,31.96,21,1.96,17,.124,23,.065,9,.059,24,28.65,29,6.11,28,2.50,23,.704
NE,191,21,31.97,12,1.72,1,.215,7,.105,1,.110,6,25.60,7,5.58,5,2.27,15,.690
ATL,176,22,32.30,10,1.65,4,.176,4,.114,6,.063,4,25.10,15,5.78,14,2.38,10,.671
TB,187,23,32.39,20,1.96,15,.128,11,.096,24,.032,12,26.42,9,5.62,9,2.33,20,.697
KC,173,24,32.71,27,2.17,32,.064,32,.040,28,.023,21,27.98,16,5.79,23,2.46,17,.694
TEN,184,25,32.71,30,2.26,14,.130,8,.103,26,.027,29,30.04,24,5.99,27,2.50,30,.723
BUF,179,26,32.73,29,2.23,24,.112,21,.067,19,.045,30,30.21,19,5.93,16,2.39,31,.727
