Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
CHI,205,1,22.50,2,1.11,2,.200,5,.112,3,.088,11,29.41,2,5.09,2,2.18,2,.589
BAL,189,2,22.68,1,1.05,1,.206,1,.148,14,.058,1,28.17,1,5.05,1,2.17,1,.585
OAK,181,3,24.98,19,1.75,27,.122,11,.099,31,.022,32,35.04,13,5.57,22,2.46,8,.642
JAX,182,4,25.06,4,1.27,24,.132,7,.110,32,.022,4,28.48,9,5.46,5,2.25,3,.624
SD,190,5,25.24,7,1.54,21,.137,21,.084,18,.053,2,28.40,5,5.32,3,2.23,12,.643
MIN,186,6,25.35,5,1.45,6,.172,4,.113,13,.059,22,30.72,8,5.41,6,2.25,4,.626
CAR,187,7,25.41,12,1.59,29,.112,23,.075,28,.037,15,29.79,7,5.37,10,2.32,6,.633
MIA,184,8,25.41,6,1.46,25,.130,31,.043,4,.087,14,29.61,14,5.57,13,2.35,7,.633
PIT,181,9,26.08,8,1.55,9,.160,6,.110,21,.050,30,32.69,11,5.48,11,2.32,9,.642
NO,182,10,26.28,13,1.62,31,.093,29,.060,29,.033,8,29.03,3,5.15,7,2.26,10,.642
GB,193,11,26.65,21,1.79,7,.171,3,.119,19,.052,18,30.13,4,5.27,4,2.23,14,.652
SEA,189,12,26.84,15,1.66,26,.122,28,.063,15,.058,17,29.92,6,5.34,8,2.32,11,.643
NE,178,13,27.14,3,1.20,4,.185,2,.124,11,.062,5,28.76,10,5.48,9,2.32,5,.628
DEN,181,14,27.66,9,1.57,16,.149,15,.094,17,.055,31,33.48,21,5.84,18,2.42,13,.652
BUF,182,15,28.16,11,1.58,28,.121,24,.071,22,.049,12,29.54,17,5.76,24,2.47,15,.665
TB,183,16,28.58,20,1.78,30,.104,30,.060,27,.044,26,31.62,16,5.69,27,2.48,18,.673
NYG,185,17,28.67,24,1.88,14,.151,17,.092,12,.059,27,31.75,22,5.85,15,2.39,21,.684
PHI,182,18,28.88,10,1.57,12,.154,9,.104,24,.049,6,28.93,26,5.92,23,2.46,17,.673
DAL,179,19,29.21,23,1.82,11,.156,10,.101,16,.056,19,30.27,12,5.56,12,2.34,20,.674
KC,176,20,29.28,16,1.71,13,.153,20,.085,8,.068,13,29.61,19,5.80,20,2.43,19,.674
NYJ,175,21,29.70,14,1.65,19,.143,18,.091,20,.051,10,29.23,25,5.91,14,2.37,22,.687
