Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
CLE,182,22,30.36,17,1.73,17,.148,12,.099,23,.049,16,29.86,20,5.80,16,2.40,16,.672
ATL,176,23,30.39,18,1.74,22,.136,25,.068,7,.068,3,28.47,18,5.79,21,2.45,23,.688
SF,178,24,31.06,32,2.20,18,.146,22,.079,9,.067,28,31.76,23,5.87,28,2.49,30,.707
DET,177,25,31.25,29,2.10,10,.158,26,.068,2,.090,21,30.69,29,5.96,30,2.53,25,.700
CIN,179,26,31.25,22,1.81,15,.151,8,.106,25,.045,9,29.04,24,5.90,26,2.48,29,.707
ARI,176,27,31.35,25,2.00,3,.188,19,.091,1,.097,29,31.81,28,5.93,19,2.42,26,.704
HOU,165,28,32.05,27,2.05,23,.133,27,.067,10,.067,25,31.58,31,6.09,31,2.59,31,.711
TEN,182,29,32.30,31,2.12,20,.137,16,.093,26,.044,24,31.14,30,5.97,29,2.51,27,.704
STL,172,30,32.38,26,2.04,5,.174,13,.099,5,.076,20,30.48,15,5.69,17,2.41,28,.707
WAS,172,31,33.14,28,2.09,32,.058,32,.035,30,.023,7,28.99,27,5.93,25,2.47,24,.693
IND,155,32,33.77,30,2.10,8,.168,14,.097,6,.071,23,30.83,32,6.41,32,3.08,32,.732
NFL,0,0,28.30,0,1.70,0,.146,0,.090,0,.057,0,30.28,0,5.65,0,2.38,0,.666

Team,Drives,TDs/Dr Rank,TDs/Dr,FG/Dr Rank,FG/Dr,Punts/Dr Rank,Punts/Dr,3Outs/Dr Rank,3Outs/Dr,LOS/KO Rank,LOS/KO,TD/FG Rank,TD/FG,Pts/RZ Rank,Pts/RZ,TDs/RZ Rank,TDs/RZ,Avg. Lead Rank,Avg. Lead
CHI,205,3,.122,2,.088,4,.488,8,.278,4,25.48,14,1.39,5,4.28,8,.475,4,5.36
BAL,189,1,.111,3,.090,10,.455,4,.291,20,27.73,8,1.24,1,3.24,1,.333,3,5.38
OAK,181,13,.177,28,.171,27,.376,18,.238,32,33.27,4,1.03,8,4.31,6,.443,29,-2.65
JAX,182,5,.143,4,.093,5,.484,9,.275,3,25.33,24,1.53,3,3.91,5,.438,7,3.85
SD,190,9,.168,13,.121,9,.463,6,.289,7,25.92,15,1.39,28,4.89,29,.574,2,5.94
MIN,186,4,.129,31,.183,17,.425,7,.280,31,30.71,1,0.71,4,3.96,3,.370,26,-1.74
CAR,187,10,.171,17,.128,1,.524,1,.326,24,28.33,12,1.33,31,5.19,25,.558,14,1.92
MIA,184,7,.158,10,.120,3,.495,3,.299,9,26.08,11,1.32,11,4.42,4,.417,20,0.08
PIT,181,11,.171,8,.116,6,.470,13,.249,30,29.40,19,1.48,18,4.67,12,.488,11,2.43
NO,182,20,.198,1,.077,2,.522,2,.308,23,28.20,32,2.57,21,4.71,21,.537,8,3.64
GB,193,19,.197,19,.135,16,.430,10,.269,12,26.40,18,1.46,15,4.62,15,.511,22,-0.13
SEA,189,15,.185,14,.122,8,.466,5,.291,14,26.59,23,1.52,25,4.77,28,.568,17,1.10
NE,178,2,.118,16,.124,13,.444,26,.202,10,26.15,3,0.95,2,3.63,2,.343,1,6.31
DEN,181,6,.144,32,.188,21,.409,17,.238,18,27.34,2,0.76,6,4.28,7,.444,12,2.18
BUF,182,12,.176,12,.121,7,.467,12,.264,28,29.27,17,1.45,17,4.67,18,.533,19,0.34
TB,183,21,.202,11,.120,14,.443,15,.246,11,26.37,27,1.68,16,4.63,26,.563,32,-4.38
NYG,185,24,.216,9,.119,28,.373,22,.216,19,27.48,28,1.82,32,5.26,32,.652,15,1.42
PHI,182,8,.165,21,.143,11,.451,14,.247,8,25.96,5,1.15,9,4.37,11,.488,9,2.67
DAL,179,22,.207,15,.123,23,.402,20,.229,17,27.26,26,1.68,24,4.77,17,.532,13,2.00
KC,176,14,.182,22,.148,20,.415,27,.193,29,29.32,7,1.23,30,4.95,22,.545,16,1.19
NYJ,175,17,.189,6,.103,19,.423,28,.189,27,28.93,29,1.83,22,4.76,19,.533,10,2.56
CLE,182,16,.187,20,.143,18,.423,19,.231,2,24.84,10,1.31,19,4.68,16,.520,30,-3.47
ATL,176,18,.193,18,.131,15,.438,16,.239,1,24.13,20,1.48,7,4.28,13,.500,23,-0.67
SF,178,30,.242,26,.169,30,.365,31,.174,16,27.22,16,1.43,29,4.93,20,.533,31,-3.54
DET,177,26,.226,27,.169,26,.379,30,.186,6,25.91,13,1.33,27,4.86,23,.552,28,-2.08
CIN,179,25,.218,5,.101,22,.402,23,.207,13,26.53,30,2.17,20,4.69,24,.558,6,4.03
ARI,176,23,.210,30,.176,31,.330,29,.188,15,26.84,6,1.19,12,4.52,10,.483,21,0.00
HOU,165,28,.230,24,.152,24,.394,24,.206,5,25.52,22,1.52,10,4.39,14,.510,25,-1.74
TEN,182,31,.242,23,.148,29,.368,25,.203,22,28.03,25,1.63,23,4.76,30,.581,27,-1.98
STL,172,32,.244,7,.110,25,.390,21,.227,21,27.82,31,2.21,13,4.55,27,.564,18,1.08
WAS,172,27,.227,29,.174,12,.448,11,.267,25,28.44,9,1.30,14,4.56,9,.479,24,-1.26
IND,155,29,.232,25,.155,32,.303,32,.148,26,28.65,21,1.50,26,4.84,31,.588,5,4.22
NFL,0,0,.186,0,.133,0,.428,0,.242,0,27.28,0,1.40,0,4.57,0,.512,0,-1.09

