Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
NYG,198,1,24.03,8,1.59,2,.187,17,.081,1,.106,30,32.87,2,5.03,1,2.12,1,.617
NYJ,195,2,24.29,5,1.52,12,.144,27,.062,3,.082,5,27.58,3,5.10,3,2.19,3,.630
SD,175,3,24.67,7,1.54,19,.131,12,.091,22,.040,29,32.61,6,5.41,5,2.26,4,.633
PIT,175,4,25.22,1,1.24,5,.171,5,.114,8,.057,19,29.91,17,5.70,13,2.35,6,.637
CHI,191,5,25.25,3,1.34,3,.183,8,.110,4,.073,24,30.88,4,5.35,9,2.32,5,.634
OAK,202,6,26.45,19,1.80,31,.094,28,.059,27,.035,26,31.41,1,5.01,2,2.16,8,.647
GB,182,7,26.49,2,1.24,7,.165,2,.132,29,.033,12,29.08,9,5.48,8,2.31,2,.628
MIN,180,8,26.90,12,1.66,21,.128,16,.083,19,.044,17,29.87,11,5.53,16,2.38,10,.656
MIA,175,9,27.01,13,1.66,26,.109,26,.063,17,.046,25,30.94,23,5.78,19,2.40,7,.645
KC,186,10,27.20,9,1.60,24,.113,22,.075,24,.038,2,26.74,14,5.61,7,2.31,12,.658
BAL,181,11,27.33,4,1.49,15,.138,10,.105,28,.033,3,27.31,18,5.72,15,2.37,9,.648
STL,187,12,28.04,10,1.60,20,.128,23,.075,10,.053,7,28.39,15,5.61,6,2.29,11,.657
SF,188,13,28.19,14,1.71,23,.117,18,.080,26,.037,15,29.46,16,5.62,18,2.39,13,.660
PHI,188,14,28.31,22,1.89,4,.176,4,.122,11,.053,4,27.49,5,5.37,4,2.25,18,.681
CAR,188,15,28.75,24,1.95,11,.149,13,.090,7,.059,31,33.19,21,5.75,24,2.44,21,.689
DET,185,16,29.45,21,1.85,13,.141,21,.076,6,.065,21,30.37,8,5.48,14,2.37,22,.690
NO,166,17,29.94,11,1.64,14,.139,31,.054,2,.084,16,29.49,26,5.86,26,2.44,14,.663
BUF,186,18,30.05,29,2.20,27,.108,29,.059,15,.048,32,33.65,27,5.92,28,2.51,28,.705
ARI,198,19,30.08,26,2.05,16,.136,15,.086,13,.051,28,32.44,20,5.73,23,2.43,19,.683
WAS,198,20,30.09,17,1.77,22,.126,24,.071,9,.056,22,30.64,7,5.47,17,2.38,16,.671
