Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
CHI,183,1,25.97,1,1.43,1,.191,1,.148,15,.044,13,27.82,4,5.63,1,2.30,1,.641
BUF,182,2,26.18,10,1.86,9,.148,12,.088,9,.060,32,31.36,1,5.40,3,2.33,6,.672
BAL,173,3,26.34,2,1.62,24,.098,20,.069,27,.029,19,28.31,9,5.73,5,2.35,4,.670
MIN,177,4,28.00,3,1.68,19,.107,22,.068,17,.040,18,28.31,10,5.78,19,2.47,5,.670
JAX,175,5,28.95,6,1.77,27,.086,24,.063,30,.023,25,29.13,6,5.66,10,2.41,3,.670
HOU,185,6,29.21,4,1.71,13,.141,14,.081,10,.059,1,25.57,5,5.65,6,2.37,2,.667
PIT,177,7,29.72,15,1.95,30,.079,28,.045,23,.034,16,28.01,7,5.67,8,2.39,11,.698
NE,183,8,30.61,7,1.78,7,.153,4,.098,12,.055,24,29.11,3,5.61,2,2.31,7,.687
TEN,164,9,30.82,5,1.75,21,.104,23,.067,18,.037,15,27.98,27,6.21,31,2.58,9,.690
ARI,183,10,31.02,21,2.16,26,.087,31,.038,14,.049,22,28.80,19,5.95,25,2.54,21,.723
DEN,181,11,31.38,9,1.84,11,.144,6,.094,13,.050,14,27.85,12,5.79,13,2.43,8,.688
CLE,193,12,31.55,14,1.95,3,.161,11,.088,2,.073,26,29.15,20,5.96,11,2.42,18,.713
NYJ,191,13,31.65,23,2.19,23,.099,21,.068,24,.031,30,30.66,8,5.71,4,2.34,13,.703
DAL,164,14,31.71,13,1.93,16,.122,26,.055,4,.067,29,30.12,25,6.15,23,2.52,15,.704
IND,168,15,31.83,11,1.87,4,.155,9,.089,5,.065,10,27.50,23,6.08,24,2.53,12,.700
GB,176,16,32.07,22,2.18,29,.080,30,.040,16,.040,28,29.89,18,5.93,17,2.47,20,.716
LAC,165,17,32.26,8,1.83,17,.115,16,.079,19,.036,20,28.33,24,6.12,21,2.50,14,.704
SF,174,18,32.52,26,2.33,32,.040,32,.011,28,.029,31,30.95,21,5.97,16,2.46,24,.728
LAR,176,19,32.62,19,2.13,2,.165,3,.102,7,.063,8,27.38,2,5.60,9,2.39,17,.708
DET,165,20,32.96,17,2.01,31,.073,29,.042,25,.030,12,27.58,14,5.84,15,2.46,19,.716
PHI,171,21,33.16,16,1.99,25,.094,25,.058,20,.035,11,27.56,22,6.04,7,2.39,10,.695
TB,175,22,34.13,30,2.48,28,.086,27,.051,22,.034,23,29.11,11,5.79,12,2.43,29,.745
SEA,169,23,34.31,12,1.89,12,.142,18,.071,3,.071,7,27.16,13,5.82,14,2.44,16,.707
CAR,164,24,34.32,25,2.29,14,.134,15,.079,11,.055,5,26.77,15,5.87,20,2.50,22,.726
WAS,163,25,35.15,18,2.04,6,.153,7,.092,8,.061,4,26.54,28,6.21,28,2.57,23,.727
NYG,169,26,35.32,27,2.36,15,.124,5,.095,26,.030,9,27.49,29,6.22,27,2.56,27,.733
MIA,178,27,35.85,24,2.28,10,.146,2,.118,29,.028,21,28.74,16,5.90,26,2.54,25,.729
NO,161,28,35.93,20,2.14,8,.149,17,.075,1,.075,3,26.34,26,6.20,22,2.50,28,.737
OAK,168,29,36.13,32,2.61,22,.101,13,.083,32,.018,27,29.67,17,5.91,18,2.47,26,.732
ATL,165,30,37.18,29,2.44,18,.109,8,.091,31,.018,6,27.08,30,6.33,29,2.57,31,.764
CIN,172,31,38.14,31,2.56,20,.105,19,.070,21,.035,17,28.27,31,6.46,32,3.00,30,.752
KC,168,32,39.57,28,2.41,5,.155,10,.089,6,.065,2,25.57,32,6.70,30,2.58,32,.779
NFL,0,0,32.31,0,2.04,0,.120,0,.075,0,.045,0,28.28,0,5.93,0,2.46,0,.710

Team,Drives,TDs/Dr Rank,TDs/Dr,FG/Dr Rank,FG/Dr,Punts/Dr Rank,Punts/Dr,3Outs/Dr Rank,3Outs/Dr,LOS/KO Rank,LOS/KO,TD/FG Rank,TD/FG,Pts/RZ Rank,Pts/RZ,TDs/RZ Rank,TDs/RZ,Avg. Lead Rank,Avg. Lead
CHI,183,1,.148,15,.137,10,.426,1,.268,9,24.92,2,1.08,5,4.40,5,.500,2,6.96
BUF,182,15,.214,11,.132,5,.440,3,.253,31,26.60,18,1.63,30,5.58,30,.708,30,-2.34
BAL,173,4,.185,3,.116,1,.509,7,.243,20,25.52,17,1.60,23,5.20,24,.634,6,4.20
MIN,177,2,.158,30,.186,8,.429,4,.249,24,25.74,1,0.85,7,4.49,2,.449,16,0.97
JAX,175,5,.189,23,.154,3,.451,2,.257,2,24.15,6,1.22,9,4.66,8,.511,24,-1.24
HOU,185,6,.195,7,.124,9,.427,12,.222,1,23.93,16,1.57,31,5.59,29,.707,8,3.62
PIT,177,16,.226,6,.124,2,.458,10,.226,7,24.84,20,1.82,20,5.04,18,.604,9,3.27
NE,183,8,.197,16,.137,23,.377,17,.208,32,27.11,13,1.44,14,4.89,16,.587,3,5.88
TEN,164,3,.183,25,.159,6,.433,13,.220,22,25.70,4,1.15,1,4.15,3,.457,21,-0.76
ARI,183,21,.251,14,.137,7,.432,5,.246,11,25.02,21,1.84,25,5.36,22,.623,32,-5.33
DEN,181,9,.204,20,.144,17,.398,14,.215,21,25.62,12,1.42,11,4.81,15,.581,20,-0.52
CLE,193,14,.212,24,.155,24,.368,25,.181,26,25.89,9,1.37,16,4.93,20,.611,23,-0.84
NYJ,191,18,.241,28,.173,12,.408,15,.215,17,25.35,11,1.39,13,4.86,10,.525,28,-1.68
DAL,164,12,.207,26,.165,21,.390,20,.201,30,26.16,7,1.26,8,4.57,7,.510,12,2.76
IND,168,7,.196,27,.167,16,.399,16,.208,14,25.11,5,1.18,15,4.91,11,.535,11,3.21
GB,176,23,.256,9,.131,14,.403,9,.227,29,26.13,23,1.96,18,5.00,21,.618,19,-0.13
LAC,165,10,.206,18,.139,13,.406,8,.236,8,24.88,14,1.48,3,4.32,6,.500,7,4.00
SF,174,27,.276,17,.138,4,.448,21,.201,27,25.96,25,2.00,27,5.36,26,.655,26,-1.53
LAR,176,20,.244,19,.142,26,.364,28,.176,16,25.31,19,1.72,17,4.94,14,.577,4,5.58
DET,165,19,.242,2,.115,11,.412,22,.200,12,25.03,27,2.11,10,4.74,13,.574,18,0.56
PHI,171,13,.211,31,.187,22,.380,11,.222,13,25.10,3,1.13,2,4.25,1,.446,17,0.95
TB,175,31,.303,4,.120,15,.400,6,.246,25,25.83,32,2.52,32,5.97,32,.776,22,-0.76
SEA,169,11,.207,22,.154,19,.391,30,.160,28,26.05,8,1.35,4,4.39,4,.490,10,3.21
CAR,164,26,.274,5,.122,20,.390,19,.201,18,25.48,30,2.25,28,5.40,27,.702,13,1.71
WAS,163,17,.239,8,.129,28,.356,23,.196,15,25.12,22,1.86,6,4.46,9,.519,25,-1.31
NYG,169,22,.254,29,.183,18,.391,24,.195,5,24.73,10,1.39,19,5.00,12,.569,15,1.21
MIA,178,25,.270,13,.135,32,.303,27,.180,6,24.81,24,2.00,12,4.85,19,.607,27,-1.60
NO,161,24,.261,1,.106,29,.317,26,.180,3,24.60,31,2.47,22,5.08,23,.633,5,4.40
OAK,168,32,.310,21,.149,27,.357,18,.202,23,25.71,26,2.08,21,5.08,17,.597,31,-3.08
ATL,165,30,.297,12,.133,25,.364,29,.176,10,24.98,28,2.23,24,5.35,28,.704,14,1.58
CIN,172,28,.285,32,.192,30,.308,31,.157,19,25.51,15,1.48,26,5.36,25,.639,29,-1.84
KC,168,29,.292,10,.131,31,.304,32,.137,4,24.63,29,2.23,29,5.50,31,.724,1,8.13
NFL,0,0,.232,0,.144,0,.395,0,.210,0,25.35,0,1.61,0,4.97,0,.592,0,-1.20

