Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
BAL,196,1,22.53,4,1.21,19,.138,19,.082,13,.056,24,32.07,3,5.27,3,2.26,2,.606
STL,185,2,23.01,7,1.36,6,.184,9,.108,3,.076,27,33.41,4,5.28,4,2.27,3,.620
PHI,195,3,23.51,2,1.03,14,.144,25,.072,5,.072,6,29.43,6,5.37,15,2.34,1,.598
PIT,172,4,23.79,3,1.13,16,.140,16,.093,23,.047,3,29.35,12,5.43,2,2.25,8,.632
CIN,191,5,24.87,16,1.53,21,.136,27,.068,6,.068,30,35.59,11,5.42,16,2.35,10,.640
SD,195,6,25.02,17,1.61,12,.154,13,.097,12,.056,16,30.88,10,5.42,5,2.27,12,.643
GB,191,7,25.13,5,1.23,8,.178,11,.105,4,.073,17,30.91,18,5.58,12,2.32,6,.625
TB,183,8,25.37,11,1.49,5,.191,2,.153,26,.038,7,29.50,5,5.31,7,2.28,7,.628
NYG,194,9,25.71,13,1.51,17,.139,22,.077,7,.062,25,33.06,2,5.24,9,2.29,5,.623
CLE,199,10,25.89,8,1.40,2,.206,1,.166,25,.040,19,31.40,19,5.61,14,2.33,9,.634
CHI,187,11,26.03,1,0.96,3,.198,10,.107,2,.091,5,29.38,17,5.56,10,2.29,4,.621
WAS,181,12,26.44,14,1.52,10,.177,4,.127,19,.050,11,30.02,15,5.50,17,2.35,11,.641
MIA,181,13,26.48,9,1.45,18,.138,14,.094,24,.044,1,28.70,7,5.38,20,2.37,14,.654
DAL,176,14,26.70,21,1.71,29,.108,30,.051,11,.057,29,34.31,23,5.72,23,2.40,15,.654
JAX,183,15,26.85,10,1.49,25,.120,28,.066,15,.055,22,31.51,30,5.93,27,2.47,18,.659
DEN,181,16,27.06,20,1.65,9,.177,6,.122,14,.055,21,31.45,8,5.40,11,2.30,19,.662
OAK,189,17,27.76,18,1.62,23,.122,18,.090,29,.032,12,30.16,13,5.47,6,2.28,16,.655
NO,186,18,27.78,29,2.12,15,.140,20,.081,10,.059,26,33.16,1,5.21,18,2.36,23,.667
NYJ,178,19,28.03,12,1.49,1,.213,8,.112,1,.101,4,29.36,27,5.90,26,2.44,17,.656
SEA,182,20,28.16,19,1.63,20,.137,23,.077,8,.060,8,29.93,26,5.84,21,2.39,20,.664
SF,171,21,28.69,15,1.52,4,.193,3,.140,16,.053,15,30.87,28,5.91,22,2.40,22,.667
KC,180,22,29.06,24,1.78,22,.122,24,.072,18,.050,13,30.35,21,5.67,25,2.43,24,.670
NE,185,23,29.36,6,1.32,7,.178,7,.119,9,.059,2,29.15,22,5.68,13,2.32,13,.650
