Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
DEN,192,1,25.76,12,1.73,22,.120,11,.094,29,.026,24,28.41,4,5.51,3,2.27,4,.669
BUF,193,2,26.12,1,1.40,7,.145,8,.098,18,.047,11,26.57,3,5.47,5,2.30,1,.644
SEA,165,3,26.90,2,1.44,20,.127,18,.079,15,.048,1,25.25,13,5.72,17,2.41,3,.664
DET,178,4,27.17,4,1.53,5,.146,2,.112,23,.034,9,26.30,9,5.63,6,2.32,8,.678
HOU,193,5,29.09,3,1.51,3,.166,6,.104,7,.062,15,27.18,8,5.63,2,2.24,6,.674
IND,193,6,29.27,10,1.72,19,.130,25,.062,4,.067,4,25.44,1,5.28,1,2.18,5,.670
PHI,202,7,29.34,15,1.85,15,.134,26,.059,1,.074,10,26.33,5,5.57,11,2.36,9,.681
SF,170,8,29.44,14,1.84,2,.171,1,.135,22,.035,7,26.03,19,5.89,20,2.43,21,.697
OAK,186,9,29.66,29,2.24,31,.070,27,.048,32,.022,31,32.40,12,5.70,16,2.40,19,.696
NYJ,178,10,29.74,24,2.08,32,.056,31,.034,30,.022,25,28.67,7,5.62,12,2.37,14,.688
CLE,195,11,30.11,8,1.69,10,.138,4,.108,25,.031,20,27.50,18,5.88,8,2.35,12,.685
KC,170,12,30.39,7,1.64,30,.071,30,.035,21,.035,12,26.79,27,6.16,26,2.47,11,.683
BAL,175,13,30.72,11,1.73,21,.120,24,.063,9,.057,14,26.91,23,6.07,23,2.45,10,.682
MIA,175,14,30.75,23,2.05,11,.137,16,.080,10,.057,29,29.88,22,6.05,19,2.43,20,.696
ARI,183,15,31.21,5,1.60,18,.131,9,.098,24,.033,6,25.61,10,5.66,13,2.37,2,.664
CAR,175,16,31.29,20,1.94,8,.143,15,.080,5,.063,18,27.42,16,5.83,10,2.36,17,.694
SD,174,17,31.50,19,1.92,27,.098,28,.040,8,.057,22,28.12,15,5.83,15,2.40,15,.690
MIN,170,18,31.58,18,1.91,24,.106,19,.076,27,.029,23,28.33,26,6.15,30,2.56,25,.705
JAX,184,19,31.64,22,1.99,25,.103,32,.033,2,.071,26,29.34,20,6.01,27,2.48,18,.695
CIN,179,20,31.70,13,1.77,9,.140,3,.112,28,.028,8,26.07,25,6.09,18,2.41,22,.699
WAS,178,21,31.74,27,2.19,28,.090,29,.039,13,.051,28,29.70,6,5.60,14,2.38,23,.699
