Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
BAL,214,1,19.81,2,1.21,8,.168,8,.112,14,.056,10,30.72,1,4.91,1,2.15,1,.568
DAL,189,2,22.07,3,1.25,26,.116,28,.069,21,.048,11,30.78,2,5.03,3,2.19,2,.582
BUF,184,3,23.35,8,1.48,30,.103,30,.054,20,.049,30,33.42,18,5.60,16,2.37,9,.635
NE,197,4,23.75,1,1.13,2,.198,2,.147,19,.051,9,30.66,14,5.55,6,2.25,5,.625
TB,186,5,23.77,5,1.27,6,.172,10,.108,6,.065,23,32.23,7,5.33,10,2.29,3,.604
DEN,179,6,24.11,11,1.51,28,.112,32,.050,7,.061,14,31.05,4,5.20,2,2.19,4,.615
CAR,187,7,24.49,6,1.41,21,.128,16,.086,27,.043,13,30.99,12,5.49,12,2.34,7,.634
STL,193,8,25.03,7,1.44,1,.223,5,.124,1,.098,25,32.48,3,5.12,4,2.20,6,.628
MIA,186,9,25.77,4,1.27,5,.177,7,.118,11,.059,12,30.84,15,5.56,13,2.36,8,.635
PIT,188,10,25.79,13,1.59,23,.128,23,.074,18,.053,15,31.10,6,5.22,9,2.28,10,.637
JAX,175,11,26.37,24,1.84,12,.154,15,.086,4,.069,32,34.54,21,5.66,22,2.41,15,.665
GB,190,12,26.44,10,1.51,10,.158,9,.111,22,.047,24,32.24,16,5.58,7,2.27,11,.640
TEN,182,13,26.68,12,1.58,9,.165,6,.121,25,.044,1,28.88,5,5.21,5,2.22,12,.644
SF,182,14,27.14,19,1.74,7,.170,4,.126,24,.044,18,31.62,10,5.45,11,2.33,19,.670
PHI,183,15,27.52,9,1.49,16,.142,26,.071,3,.071,4,30.22,28,5.91,27,2.45,16,.667
CHI,181,16,27.54,20,1.78,32,.099,17,.083,32,.017,31,33.78,19,5.64,18,2.39,14,.661
CLE,174,17,27.58,16,1.69,27,.115,14,.086,31,.029,26,32.68,29,5.92,30,2.48,13,.658
IND,168,18,27.74,23,1.83,11,.155,12,.089,5,.065,6,30.53,13,5.51,29,2.48,23,.680
DET,186,19,27.92,21,1.81,17,.140,18,.081,10,.059,3,29.88,9,5.44,21,2.41,20,.673
NYG,188,20,28.24,22,1.82,29,.112,31,.053,12,.059,16,31.17,24,5.75,25,2.45,21,.675
SEA,183,21,28.54,15,1.67,15,.148,13,.087,9,.060,7,30.58,30,5.98,26,2.45,17,.670
NO,179,22,28.56,14,1.66,19,.134,21,.078,16,.056,8,30.58,22,5.72,19,2.39,18,.670
OAK,193,23,29.56,27,1.96,24,.119,25,.073,23,.047,19,31.68,11,5.48,20,2.41,22,.677
ATL,197,24,29.70,29,2.03,13,.152,22,.076,2,.076,28,32.92,8,5.37,15,2.37,25,.692
SD,184,25,29.82,32,2.24,31,.103,27,.071,30,.033,21,32.00,27,5.88,28,2.46,31,.707
KC,186,26,30.11,18,1.70,4,.177,3,.134,26,.043,5,30.30,25,5.78,17,2.38,24,.684
WAS,180,27,30.41,28,1.99,14,.150,11,.094,17,.056,17,31.47,23,5.73,24,2.45,28,.703
ARI,179,28,30.41,31,2.18,20,.128,24,.073,15,.056,29,33.32,20,5.65,23,2.42,32,.712
MIN,175,29,30.88,25,1.90,3,.194,1,.160,29,.034,27,32.77,17,5.59,8,2.28,26,.699
CIN,178,30,31.27,30,2.08,18,.135,19,.079,13,.056,22,32.12,26,5.78,14,2.37,27,.700
NYJ,164,31,31.60,17,1.70,22,.128,29,.067,8,.061,20,31.71,32,6.44,32,3.11,29,.704
HOU,178,32,33.52,26,1.92,25,.118,20,.079,28,.039,2,29.28,31,6.08,31,2.56,30,.704
NFL,0,0,27.28,0,1.67,0,.145,0,.092,0,.053,0,31.51,0,5.57,0,2.36,0,.661

Team,Drives,TDs/Dr Rank,TDs/Dr,FG/Dr Rank,FG/Dr,Punts/Dr Rank,Punts/Dr,3Outs/Dr Rank,3Outs/Dr,LOS/KO Rank,LOS/KO,TD/FG Rank,TD/FG,Pts/RZ Rank,Pts/RZ,TDs/RZ Rank,TDs/RZ,Avg. Lead Rank,Avg. Lead
BAL,214,2,.117,18,.131,4,.481,3,.290,2,25.88,4,0.89,24,4.84,16,.500,14,2.25
DAL,189,5,.132,8,.111,1,.556,1,.328,21,29.35,10,1.19,17,4.56,11,.471,13,2.69
BUF,184,10,.158,15,.125,2,.500,2,.304,16,28.74,11,1.26,19,4.67,18,.511,20,-0.23
NE,197,1,.107,17,.127,7,.457,7,.264,7,27.18,2,0.84,3,3.85,5,.391,7,4.30
TB,186,4,.124,19,.134,10,.435,8,.263,20,29.34,5,0.92,2,3.80,2,.350,16,0.99
DEN,179,9,.156,22,.140,6,.469,4,.279,5,26.51,8,1.12,11,4.31,6,.429,5,5.51
CAR,187,7,.155,10,.112,5,.476,13,.246,13,28.01,17,1.38,8,4.24,13,.488,15,1.73
STL,193,13,.166,5,.098,30,.373,28,.197,3,26.15,23,1.68,15,4.44,22,.542,8,4.22
MIA,186,3,.124,24,.140,13,.430,5,.274,1,25.03,3,0.88,1,3.51,1,.326,12,3.26
PIT,188,16,.181,9,.112,3,.484,9,.255,4,26.21,22,1.62,16,4.47,19,.511,17,0.97
JAX,175,21,.206,21,.137,14,.429,11,.251,30,31.19,19,1.50,20,4.73,20,.523,23,-1.50
GB,190,6,.147,30,.158,11,.432,12,.247,19,29.01,6,0.93,5,4.00,4,.391,2,6.33
TEN,182,12,.165,25,.143,15,.429,6,.269,26,30.20,9,1.15,10,4.29,7,.439,1,6.81
SF,182,23,.209,2,.093,23,.412,15,.236,23,29.83,27,2.24,25,4.93,25,.591,9,4.03
PHI,183,11,.164,13,.120,17,.421,16,.235,6,26.94,16,1.36,14,4.40,12,.476,10,3.92
CHI,181,17,.182,31,.171,18,.420,14,.243,28,30.97,7,1.06,18,4.63,15,.491,24,-1.58
CLE,174,8,.155,32,.201,12,.431,25,.213,18,28.87,1,0.77,4,4.00,3,.375,25,-1.61
IND,168,25,.220,3,.095,9,.440,20,.220,12,27.98,30,2.31,30,5.22,30,.659,11,3.40
