Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
ARI,187,1,25.25,9,1.78,10,.134,15,.075,7,.059,27,29.53,4,5.56,6,2.32,4,.661
HOU,183,2,26.72,5,1.68,27,.093,23,.060,24,.033,28,29.59,1,5.34,4,2.31,2,.645
DEN,187,3,27.00,3,1.50,12,.128,16,.075,10,.053,22,28.50,16,5.86,14,2.42,3,.658
BAL,184,4,27.62,6,1.69,9,.141,5,.098,20,.043,21,28.45,3,5.47,5,2.31,6,.668
NYG,194,5,27.85,2,1.42,14,.124,9,.088,23,.036,13,27.61,5,5.66,8,2.36,1,.638
SEA,180,6,28.58,4,1.61,21,.106,22,.061,18,.044,20,28.43,10,5.78,16,2.43,7,.676
MIN,174,7,28.71,7,1.72,8,.144,12,.080,3,.063,8,26.79,17,5.87,17,2.44,9,.680
NE,177,8,28.82,1,1.41,17,.119,17,.073,17,.045,1,24.87,11,5.79,7,2.35,5,.662
JAX,182,9,29.05,20,2.04,32,.060,32,.038,29,.022,30,30.76,13,5.81,13,2.41,8,.678
SD,182,10,30.08,23,2.12,3,.148,3,.099,12,.049,32,31.44,12,5.80,9,2.37,15,.700
LAR,183,11,30.21,15,1.93,23,.098,25,.055,19,.044,9,26.86,7,5.68,10,2.38,16,.700
CAR,186,12,30.25,16,1.96,5,.145,7,.091,9,.054,10,26.99,8,5.74,1,2.29,11,.690
TB,179,13,31.89,17,1.97,2,.156,6,.095,4,.061,16,27.98,14,5.82,11,2.39,14,.700
PHI,176,14,31.95,11,1.84,4,.148,8,.091,8,.057,12,27.36,6,5.66,3,2.30,10,.680
PIT,173,15,32.17,13,1.84,16,.121,14,.075,15,.046,19,28.38,18,5.91,22,2.45,13,.694
CIN,172,16,32.45,10,1.82,19,.116,4,.099,31,.017,11,27.33,23,6.19,28,2.50,17,.703
OAK,186,17,32.48,19,2.03,6,.145,10,.086,6,.059,2,25.14,2,5.41,2,2.29,12,.693
BUF,175,18,32.52,21,2.11,24,.097,20,.069,26,.029,23,29.11,19,5.95,27,2.49,23,.715
NYJ,174,19,32.63,22,2.11,29,.075,31,.046,25,.029,24,29.22,15,5.82,12,2.40,18,.705
SF,196,20,32.74,30,2.39,25,.097,28,.051,16,.046,31,31.27,9,5.74,15,2.42,24,.717
MIA,187,21,32.75,18,1.99,11,.134,11,.086,13,.048,18,28.20,20,5.96,20,2.44,19,.706
TEN,169,22,32.95,14,1.90,26,.095,18,.071,28,.024,5,26.57,26,6.24,23,2.46,20,.707
DAL,166,23,33.04,12,1.84,20,.114,26,.054,5,.060,17,28.17,28,6.25,19,2.44,22,.714
KC,174,24,33.67,8,1.75,1,.167,1,.103,2,.063,4,26.30,25,6.24,26,2.48,21,.708
CHI,163,25,33.96,29,2.30,30,.067,29,.049,30,.018,26,29.38,31,6.34,31,3.05,25,.724
ATL,171,26,34.51,28,2.28,18,.117,19,.070,14,.047,3,26.08,29,6.29,24,2.46,28,.741
CLE,176,27,34.83,31,2.46,31,.063,24,.057,32,.006,29,29.88,24,6.19,29,2.58,31,.749
GB,167,28,35.10,26,2.24,7,.144,2,.102,22,.042,14,27.74,21,6.05,18,2.44,26,.726
IND,169,29,35.84,25,2.18,22,.101,30,.047,11,.053,6,26.60,27,6.25,25,2.47,27,.731
DET,155,30,36.05,27,2.26,28,.090,21,.065,27,.026,7,26.61,30,6.34,32,3.06,30,.745
WAS,164,31,36.38,24,2.18,15,.122,13,.079,21,.043,15,27.75,32,6.55,30,2.59,32,.749
NO,167,32,36.71,32,2.50,13,.126,27,.054,1,.072,25,29.23,22,6.19,21,2.45,29,.745
NFL,0,0,31.60,0,1.96,0,.117,0,.073,0,.044,0,28.09,0,5.92,0,2.43,0,.701

Team,Drives,TDs/Dr Rank,TDs/Dr,FG/Dr Rank,FG/Dr,Punts/Dr Rank,Punts/Dr,3Outs/Dr Rank,3Outs/Dr,LOS/KO Rank,LOS/KO,TD/FG Rank,TD/FG,Pts/RZ Rank,Pts/RZ,TDs/RZ Rank,TDs/RZ,Avg. Lead Rank,Avg. Lead
ARI,187,9,.198,7,.134,10,.428,9,.246,16,24.91,20,1.48,17,4.82,20,.568,11,2.26
HOU,183,5,.180,9,.137,4,.459,1,.290,25,25.84,13,1.32,20,4.84,8,.523,26,-1.25
DEN,187,2,.150,18,.155,3,.476,4,.267,14,24.70,2,0.97,25,4.93,10,.524,22,0.38
BAL,184,15,.207,1,.087,2,.489,12,.239,22,25.45,30,2.38,12,4.70,18,.553,8,2.38
NYG,194,1,.129,26,.175,5,.459,8,.247,27,26.07,1,0.74,1,4.00,1,.395,23,0.32
SEA,180,6,.183,3,.106,8,.433,18,.211,19,25.17,25,1.74,10,4.65,19,.565,6,3.12
MIN,174,4,.178,23,.161,14,.414,13,.236,13,24.63,4,1.11,19,4.82,15,.545,17,1.01
NE,177,3,.153,6,.119,6,.452,7,.249,3,23.46,11,1.29,6,4.50,9,.523,1,9.76
JAX,182,12,.203,32,.209,7,.445,2,.275,31,26.74,3,0.97,18,4.82,14,.545,27,-1.76
SD,182,19,.225,28,.181,31,.341,17,.214,26,26.00,8,1.24,15,4.77,16,.545,5,3.32
LAR,183,23,.240,2,.087,1,.519,3,.268,1,23.38,31,2.75,31,5.67,31,.725,32,-3.86
CAR,186,13,.204,27,.177,26,.382,5,.258,5,23.66,6,1.15,5,4.45,2,.436,14,1.76
TB,179,17,.218,17,.151,22,.391,25,.190,21,25.32,19,1.44,26,5.00,25,.580,24,0.23
PHI,176,10,.199,21,.159,30,.347,14,.227,2,23.44,9,1.25,3,4.24,3,.451,19,0.81
PIT,173,11,.202,15,.150,17,.405,24,.197,29,26.26,16,1.35,2,4.18,4,.456,7,3.05
CIN,172,8,.198,20,.157,9,.430,19,.209,7,24.40,10,1.26,7,4.51,7,.510,9,2.28
OAK,186,24,.242,5,.118,24,.387,16,.215,4,23.54,29,2.05,21,4.86,24,.579,16,1.27
BUF,175,20,.229,25,.171,20,.394,10,.246,32,26.82,15,1.33,11,4.68,12,.526,15,1.43
NYJ,174,22,.236,19,.155,15,.414,20,.207,10,24.48,21,1.52,23,4.90,22,.569,30,-3.68
SF,196,31,.281,14,.148,18,.398,28,.184,30,26.49,27,1.90,28,5.26,27,.621,31,-3.80
MIA,187,18,.225,10,.139,23,.390,23,.198,12,24.54,23,1.62,13,4.71,21,.569,25,-1.10
TEN,169,16,.207,22,.160,11,.426,11,.243,23,25.52,12,1.30,9,4.56,13,.527,13,1.87
DAL,166,14,.205,16,.151,12,.422,22,.199,9,24.43,17,1.36,16,4.77,17,.547,3,5.59
KC,174,7,.190,12,.144,19,.397,31,.155,24,25.84,14,1.32,4,4.28,5,.491,12,2.19
CHI,163,25,.245,31,.202,16,.411,6,.258,8,24.43,7,1.21,14,4.73,11,.525,28,-2.24
ATL,171,29,.269,8,.135,25,.386,21,.205,11,24.49,28,2.00,32,5.67,32,.727,2,8.23
CLE,176,32,.307,4,.108,13,.420,15,.216,20,25.21,32,2.84,30,5.35,29,.667,29,-3.56
GB,167,27,.257,24,.162,29,.353,30,.174,28,26.13,22,1.59,27,5.24,28,.622,4,3.73
IND,169,21,.231,30,.201,27,.373,29,.178,6,23.85,5,1.15,8,4.56,6,.500,10,2.26
DET,155,28,.265,11,.142,21,.394,27,.187,18,25.03,26,1.86,29,5.34,30,.679,21,0.43
WAS,164,26,.250,13,.146,28,.372,26,.189,15,24.76,24,1.71,22,4.89,26,.593,20,0.66
NO,167,30,.275,29,.192,32,.335,32,.120,17,24.92,18,1.44,24,4.91,23,.571,18,0.93
NFL,0,0,.217,0,.150,0,.411,0,.219,0,24.98,0,1.45,0,4.81,0,.557,0,-1.15

