Team,Drives,Yds/Dr Rank,Yds/Dr,Pts/Dr Rank,Pts/Dr,TO/Dr Rank,TO/Dr,INT/Dr Rank,INT/Dr,FUM/Dr Rank,FUM/Dr,LOS/Dr Rank,LOS/Dr,Plays/Dr Rank,Plays/Dr,TOP/Dr Rank,TOP/Dr,DSR Rank,DSR
HOU,32,27,.313,4,.063,18,.344,5,.281,21,25.00,29,5.00,18,5.33,20,.667,11,4.47
JAX,35,16,.257,24,.200,8,.429,11,.229,30,28.56,9,1.29,20,5.36,18,.643,30,-6.66
MIN,34,19,.265,17,.147,15,.382,19,.176,15,24.42,21,1.80,27,6.00,27,.750,16,1.85
GB,27,31,.407,6,.074,24,.296,27,.111,29,28.31,30,5.50,31,7.00,31,1.000,18,0.96
MIA,32,23,.281,23,.188,23,.313,21,.156,18,24.73,14,1.50,19,5.33,23,.667,25,-3.69
LAR,28,11,.214,16,.143,28,.250,29,.107,23,26.00,13,1.50,8,4.45,11,.545,4,8.36
DET,29,29,.345,25,.207,26,.276,24,.138,27,27.08,17,1.67,29,6.50,28,.875,31,-6.97
NYG,29,21,.276,26,.207,11,.414,13,.207,4,23.00,11,1.33,17,5.27,16,.636,20,0.66
SF,31,18,.258,21,.161,20,.323,20,.161,10,23.64,15,1.60,23,5.50,25,.700,8,5.42
IND,28,30,.357,12,.107,21,.321,18,.179,24,26.08,26,3.33,22,5.50,21,.667,26,-4.50
WAS,31,24,.290,32,.323,30,.226,30,.097,6,23.00,4,0.90,7,4.40,8,.467,28,-5.39
LAC,27,13,.222,27,.222,31,.185,28,.111,14,24.25,5,1.00,25,5.67,22,.667,13,2.70
KC,29,32,.448,5,.069,29,.241,25,.138,16,24.65,31,6.50,30,6.54,29,.923,17,1.07
SEA,31,17,.258,30,.258,27,.258,14,.194,5,23.00,6,1.00,9,4.50,5,.438,9,5.23
NFL,,,.246,,.148,,.362,,.192,,24.96,,1.66,,5.11,,.618,,-1.34

